ID;NLTK;Natasha
2189;Кто?;Кто из вас встал первым?
2190;– Ты идешь?;Кто?
2191;Пароль?;– Ты идешь? – спросил Гарри у Гермионы.
2192;– Позвольте?;Пароль?
2193;При ней не было письма, Поттер?;– Позвольте? – попросила профессор Макгонаголл, но разрешения не дождалась, а попросту взяла метлу у мальчиков из рук.
2194;Совсем?;При ней не было письма, Поттер?
2195;Открытки?;Совсем?
2196;Записки?;Открытки?
2197;– Ч-что?;Записки?
2198;– Почему?;– Ч-что?
2199;– Я сама, конечно, не специалист, но мадам Самогони и профессор Флитвик все разберут… – На части?;– Почему?
2200;Рон повернулся к Гермионе: – Ну и зачем ты помчалась к Макгонаголл?;– На части? – спросил Рон таким тоном, словно профессор Макгонаголл выжила из ума.
2201;И если сейчас – в чем Гарри не сомневался – с метлой все в порядке, в каком порядке она будет потом, после антизаговорных проверок?;Рон повернулся к Гермионе: – Ну и зачем ты помчалась к Макгонаголл?
2202;– Хорошо провел Рождество?;И если сейчас – в чем Гарри не сомневался – с метлой все в порядке, в каком порядке она будет потом, после антизаговорных проверок?
2203;Кстати, новую метлу-то заказал?;– Хорошо провел Рождество? – спросил он, но, не дожидаясь ответа, сел и продолжил, понизив голос: – Я тут в каникулы все обдумал…
2204;– Что?!;Кстати, новую метлу-то заказал?
2205;– «Всполох»?;– Что?!
2206;Серьезно?;– «Всполох»?
2207;Настоящий «Всполох»?;Серьезно?
2208;– Заговоренность?;Настоящий «Всполох»?
2209;С какой еще стати?;– Заговоренность?
2210;Как, скажите на милость, они себе это представляют?;С какой еще стати?
2211;Блэк что, вот так запросто зашел в магазин и купилметлу?;Как, скажите на милость, они себе это представляют?
2212;– Дай-ка подумать… В восемь вечера в четверг устроит?;Блэк что, вот так запросто зашел в магазин и купилметлу?
2213;Кабинет истории магии по размерунам подойдет… Мне надо хорошенько подумать, как мы поступим… Настоящего дементора в замок привести нельзя… – Все еще так себе выглядит, да?;В восемь вечера в четверг устроит?
2214;– Как думаешь, Гарри, что с ним такое?;– Все еще так себе выглядит, да? – заметил Рон по дороге на ужин.
2215;– И чего фыркаем?;– Как думаешь, Гарри, что с ним такое?
2216;– Я спросил, что с профессором Люпином, а ты… – Разве это неочевидно?;– И чего фыркаем? – раздраженно спросил Рон.
2217;– Что это?;– Разве это неочевидно? – с возмутительной надменностью изрекла Гермиона.
2218;– А что оно делает?;– Что это? – спросил Гарри.
2219;– А как выглядит Заступник?;– А что оно делает? – занервничал Гарри.
2220;– А как его вызвать?;– А как выглядит Заступник? – с любопытством спросил Гарри.
2221;Гарри порылся в памяти: что у него там на предмет счастливых воспоминаний?;– А как его вызвать?
2222;– Сосредоточился на счастливом воспоминании?;Гарри порылся в памяти: что у него там на предмет счастливых воспоминаний?
2223;– Вы видели?;– Сосредоточился на счастливом воспоминании?
2224;– Ну что?;– Вы видели? – разволновался Гарри.
2225;Готов испробовать на дементоре?;– Ну что?
2226;Он старался думать о полете, но всплывали и другие мысли… Вот-вот он вновь услышит крик своей матери… но об этом нельзя думать, а то и впрямь услышит, а он этого совсем не хочет… или хочет?;Готов испробовать на дементоре?
2227;– Ты как?;Вот-вот он вновь услышит крик своей матери… но об этом нельзя думать, а то и впрямь услышит, а он этого совсем не хочет… или хочет?
2228;А если дементоры придут на матч с «Вранзором»?;– Ты как? – спросил Люпин.
2229;– Готов?;А если дементоры придут на матч с «Вранзором»?
2230;– Ты слышал Джеймса?;– Готов? – спросил Люпин, взявшись за крышку ящика.
2231;– А что… вы ведь не были знакомы с папой?;– Ты слышал Джеймса? – странным голосом спросил Люпин.
2232;– Я?;– А что… вы ведь не были знакомы с папой?
2233;– Готов?;– Я?
2234;– Сосредоточился?;– Готов? – спросил Люпин.
2235;– А можно еще раз попробовать?;– Сосредоточился?
2236;Всего разок?;– А можно еще раз попробовать?
2237;Ну что, через неделю в это же время?;Всего разок?
2238;– Профессор Люпин?;Ну что, через неделю в это же время?
2239;– Раз вы знали моего папу, то и Сириуса Блэка тоже должны были знать?;– Профессор Люпин? – окликнул он.
2240;– Почему ты так решил?;– Раз вы знали моего папу, то и Сириуса Блэка тоже должны были знать?
2241;– Как ей это удается?;– Почему ты так решил? – жестко спросил он.
2242;– Что удается?;– Как ей это удается? – однажды прошептал Рон.
2243;Ты же больше не теряешь сознание, правда?;– Что удается?
2244;– Ну что?;Ты же больше не теряешь сознание, правда?
2245;Они в молчании пили усладэль, а потом Гарри задал вопрос, который давно его мучил: – А что у дементоров под капюшоном?;– Ну что?
2246;– Каким?;Они в молчании пили усладэль, а потом Гарри задал вопрос, который давно его мучил: – А что у дементоров под капюшоном?
2247;– Что?;– Каким?
2248;Они убивают?.;– Что?
2249;– Думаешь?;Они убивают?. .
2250;– Ты правда думаешь, что такого кто-то заслуживает?;– Думаешь? – спокойно спросил Люпин.
2251;– И можно его взять?;– Ты правда думаешь, что такого кто-то заслуживает?
2252;– Правда?;– И можно его взять?
2253;И еще, Поттер, – постарайтесь выиграть, хорошо?;– Правда?
2254;– Уже отдала?;И еще, Поттер, – постарайтесь выиграть, хорошо?
2255;Слушай, а можно все-таки мне полетать?;– Уже отдала?
2256;Завтра?;Слушай, а можно все-таки мне полетать?
2257;– Знаешь что?;Завтра?
2258;Спустя миг Гарри окружили, и отовсюду понеслись возбужденные голоса: – Где взял, Гарри?;– Знаешь что?
2259;– Дашь покататься?;Спустя миг Гарри окружили, и отовсюду понеслись возбужденные голоса: – Где взял, Гарри?
2260;– Ты уже на ней летал?;– Дашь покататься?
2261;– Можно простоподержать,Гарри?;– Ты уже на ней летал?
2262;– Видишь, Гермиона?;– Можно простоподержать,Гарри?
2263;– Можно с тобой посидеть?;– Видишь, Гермиона?
2264;– Когда ты все успеваешь?;– Можно с тобой посидеть? – спросил Гарри у Гермионы.
2265;– Может, отказаться хотя бы от пары предметов?;– Когда ты все успеваешь? – спросил Гарри.
2266;– Рон, в чем?.;– Может, отказаться хотя бы от пары предметов? – поинтересовался Гарри, глядя, как она ворочает тяжелые тома, разыскивая рунический словарь.
2267;А НА ПОЛУ… ЗНАЕШЬ ЧТО?;– Рон, в чем?. .
2268;– Помнишь, Гарри?;ЗНАЕШЬ ЧТО?
2269;Что толку сидеть и стонать?;– Помнишь, Гарри?
2270;А можно мне будет забить пару мячей?»), и мальчики вместе отправились на квидишное поле.;Что толку сидеть и стонать?
2271;Некоторое время она продолжала в том же духе, и наконец Древ робко перебил: – Э-э-э… мадам Самогони?;А можно мне будет забить пару мячей?»), и мальчики вместе отправились на квидишное поле.
2272;Ничего, если Гарри возьмет метлу?;Некоторое время она продолжала в том же духе, и наконец Древ робко перебил: – Э-э-э… мадам Самогони?
2273;– Разве только… Гарри, ты решил свои проблемы с дементорами?;Ничего, если Гарри возьмет метлу?
2274;– Что случилось?;Гарри, ты решил свои проблемы с дементорами?
2275;– Видал?;– Что случилось? – встревожился Рон.
2276;– Видал эту рожу?;– Видал? – свирепо рявкнул Рон, отбросивкамень.
2277;–А то где я возьму десять галлеонов?.;– Видал эту рожу? – в восторге спросил Рон, поглядев на Малфоя.
2278;– Уверен, что справишься с такой метлой, Поттер?;–А то где я возьму десять галлеонов?. .
2279;ВАМ ЧТО, ПЛАТЯТ ЗА РЕКЛАМУ «ВСПОЛОХА»?;– Уверен, что справишься с такой метлой, Поттер? – раздался холодный тягучий голос.
2280;ВЫ БУДЕТЕ КОММЕНТИРОВАТЬ МАТЧ ИЛИ НЕТ?;ВАМ ЧТО, ПЛАТЯТ ЗА РЕКЛАМУ «ВСПОЛОХА»?
2281;– Как вам это удалось?;ВЫ БУДЕТЕ КОММЕНТИРОВАТЬ МАТЧ ИЛИ НЕТ?
2282;– Ты хоть на матче-то была?;– Как вам это удалось? – взвизгнула Ангелина Джонсон, когда Джордж начал швырять в толпу мятными жабами.
2283;– Да ладно тебе, Гермиона, пойдем, съешь чего-нибудь, – предложил Гарри и оглянулся на Рона – может, тот развеселился и готов зарыть топор войны?;– Ты хоть на матче-то была?
2284;– Может, хватит уже?;– Да ладно тебе, Гермиона, пойдем, съешь чего-нибудь, – предложил Гарри и оглянулся на Рона – может, тот развеселился и готов зарыть топор войны?
2285;Растерявшись в кромешной тьме, он сражался с занавесями – вокруг кто-то шевелился, а Шеймас Финниган крикнул из другого угла: – Что такое?;– Может, хватит уже? – тихо укорил Гарри Рона.
2286;– Что?;Растерявшись в кромешной тьме, он сражался с занавесями – вокруг кто-то шевелился, а Шеймас Финниган крикнул из другого угла: – Что такое?
2287;– Тебе точно не приснилось?;– Что?
2288;За спиной открывались другие спальни, сонные голоса вопрошали: – Кто кричал?;– Тебе точно не приснилось? – спросил Дин.
2289;– Вы куда?;За спиной открывались другие спальни, сонные голоса вопрошали: – Кто кричал?
2290;– Тыуверен,что тебе не приснилось, Рон?;– Вы куда?
2291;– Что за шум?;– Тыуверен,что тебе не приснилось, Рон?
2292;– Чего, продолжаем?;– Что за шум?
2293;Как, скажите на милость, Блэк мог пройти через портрет?;– Чего, продолжаем?
2294;– Сэр Кэдоган, вы впускали в башню какого-нибудь мужчину?;Как, скажите на милость, Блэк мог пройти через портрет?
2295;Только что?;– Сэр Кэдоган, вы впускали в башню какого-нибудь мужчину?
2296;– Впускали?;Только что?
2297;– Кто из вас, – дребезжащим голосом спросила она, – какой безмерно глупый человек записал пароли этой недели на бумажке, а потом бросил где попало?;– Впускали? – переспросила профессор Макгонаголл.
2298;– Как думаешь, надо кому-то сказать?;– Кто из вас, – дребезжащим голосом спросила она, – какой безмерно глупый человек записал пароли этой недели на бумажке, а потом бросил где попало?
2299;– …Я спал и вдруг слышу треск, знаете, как рвут тряпку… Я подумал, это во сне, понимаете?;– Как думаешь, надо кому-то сказать? – спросил Гарри у Рона.
2300;– Чего ему было убегать?;Я подумал, это во сне, понимаете?
2301;Что помешало перепутавшему кровати Блэку прикончить Рона, чтоб не орал, а потом уже отыскать Гарри?;– Чего ему было убегать?
2302;Как насчет попить со мной чаю сегодня после шести?;Что помешало перепутавшему кровати Блэку прикончить Рона, чтоб не орал, а потом уже отыскать Гарри?
2303;– Как жизнь, Огрид?;Как насчет попить со мной чаю сегодня после шести?
2304;– Рассказать тебе про субботнюю ночь?;– Как жизнь, Огрид? – крикнул Рон.
2305;– А это зачем, Огрид?;– Рассказать тебе про субботнюю ночь?
2306;– Что?;– А это зачем, Огрид? – спросил Гарри.
2307;– А что с ней?;– Что? – спросил Гарри.
2308;Яс’дело, откусила больше, чем может проглотить, все эти уроки да задания… И ведь еще нашла время помогать мне с Конькуром, а?;– А что с ней? – спросил Рон.
2309;– Что скажешь?;И ведь еще нашла время помогать мне с Конькуром, а?
2310;– Кто-то что-то сказал или мне померещилось?;– Что скажешь? – тихо добавил он, когда они с Гарри отошли к креслам.
2311;– Рон, как ты можешь его туда тащить?;– Кто-то что-то сказал или мне померещилось? – прорычал Рон, не глядя на Гермиону.
2312;– Мало тебе твоих подвигов?;– Рон, как ты можешь его туда тащить?
2313;– Ну так что?;– Мало тебе твоих подвигов?
2314;– Ты что тут делаешь?;– Ну так что? – сказал Рон, словно никто их не прерывал.
2315;– Сыграем в карты-хлопушки?;– Ты что тут делаешь?
2316;– И что же мы тут делаем?;– Сыграем в карты-хлопушки?
2317;– В самом деле?;– И что же мы тут делаем?
2318;– Почему так долго?;– В самом деле? – поднял брови Злей.
2319;– Ты где?;– Почему так долго? – просипел Рон.
2320;– Ты еще здесь?;– Ты где?
2321;– Ты что здесь делаешь, Уизли?;– Ты еще здесь?
2322;– Был бы счастлив здесь пожить, а?;– Ты что здесь делаешь, Уизли?
2323;Мечтаешь о собственной спальне?;– Был бы счастлив здесь пожить, а?
2324;Говорят, вся ваша семейка спит в одной комнате – это правда?;Мечтаешь о собственной спальне?
2325;– Что та…?;Говорят, вся ваша семейка спит в одной комнате – это правда?
2326;– Что это было?;– Что та…?
2327;Кто это сделал?;– Что это было?
2328;Поверит ли Малфой в то, что видел?;Кто это сделал?
2329;Поверит ли кто-нибудь Малфою?;Поверит ли Малфой в то, что видел?
2330;Скорей назад, в «Рахатлукулл», по ступенькам в подвал, по каменному полу к люку – Гарри на бегу стянул плащ, перебросил его через руку и помчался по тоннелю, быстрей, быстрей… Малфой попадет в школу первым… сколько он будет искать какого-нибудь учителя?;Поверит ли кто-нибудь Малфою?
2331;Как, по-вашему, это могло произойти?;Малфой попадет в школу первым… сколько он будет искать какого-нибудь учителя?
2332;Можете себе представить, что это было, Поттер?;Как, по-вашему, это могло произойти?
2333;– Наверное, ему надо сходить к мадам Помфри, – сказал Гарри, – если он видит такое… – Что делала ваша голова в Хогсмеде, Поттер?;Можете себе представить, что это было, Поттер?
2334;– Вы же сами велели… – Кто-нибудь может это подтвердить?;– Что делала ваша голова в Хогсмеде, Поттер? – вкрадчиво осведомился Злей.
2335;– Как вы сказали, Поттер?;– Кто-нибудь может это подтвердить?
2336;– Я знаю правду, ясно?;– Как вы сказали, Поттер?
2337;– А рассказал ли вам директор об обстоятельствах, при которых ваш отец спас мне жизнь?;– Я знаю правду, ясно?
2338;– Или он счел подробности слишком неприятными для деликатных ушек драгоценного Поттера?;– А рассказал ли вам директор об обстоятельствах, при которых ваш отец спас мне жизнь? – страшным шепотом спросил он.
2339;– Вы, видимо, воображали себе некое героическое деяние?;– Или он счел подробности слишком неприятными для деликатных ушек драгоценного Поттера?
2340;– Он… он принес это из Хогсмеда в прошлый раз… – В самом деле?;– Вы, видимо, воображали себе некое героическое деяние?
2341;И с тех пор вы с этим не расстаетесь?;– В самом деле?
2342;Как трогательно… А это что?;И с тех пор вы с этим не расстаетесь?
2343;– И зачем же вам такойстарыйкусок пергамента?;А это что?
2344;– Может, я его… выброшу?;– И зачем же вам такойстарыйкусок пергамента? – спросил он.
2345;– Еще один памятный подарок от мистера Уизли?;– Может, я его… выброшу?
2346;Или… что-то другое?;– Еще один памятный подарок от мистера Уизли?
2347;Письмо, написанное невидимыми чернилами?;Или… что-то другое?
2348;А может быть… инструкции, как пробраться в Хогсмед, минуя дементоров?;Письмо, написанное невидимыми чернилами?
2349;– Звали, Злотеус?;А может быть… инструкции, как пробраться в Хогсмед, минуя дементоров?
2350;– Что скажете?;– Звали, Злотеус? – любезно поинтересовался он.
2351;– Ну?;– Что скажете? – спросил Злей.
2352;Как думаете, где Поттер мог взять такую вещь?;– Ну? – снова спросил Злей.
2353;– Полон черной магии?;Как думаете, где Поттер мог взять такую вещь?
2354;– Правда, Злотеус?;– Полон черной магии? – мягко повторил он.
2355;Видимо, Гарри купил его в «Хохмазине»… – Да что вы?;– Правда, Злотеус?
2356;– Думаете, такие вещи продаются в «Хохмазине»?;– Да что вы? – съязвил Злей.
2357;А вам не кажется, что он получил этопрямо от производителей?;– Думаете, такие вещи продаются в «Хохмазине»?
2358;– В смысле от Червехвоста и вот этих господ?;А вам не кажется, что он получил этопрямо от производителей?
2359;– Гарри, ты с ними знаком?;– В смысле от Червехвоста и вот этих господ? – переспросил он.
2360;– Видите, Злотеус?;– Гарри, ты с ними знаком?
2361;Злотеус, я это возьму, хорошо?;– Видите, Злотеус?
2362;– Почему Злей подумал, что я получил ее от производителей?;Злотеус, я это возьму, хорошо?
2363;– Вы ихзнали?– изумился Гарри.;– Почему Злей подумал, что я получил ее от производителей?
2364;Сердце у него екнуло: неужели она сказала профессору Макгонаголл?;– Вы ихзнали?– изумился Гарри.
2365;– Явилась позлорадствовать?;Сердце у него екнуло: неужели она сказала профессору Макгонаголл?
2366;– Или уже настучала на нас?;– Явилась позлорадствовать? – свирепо рыкнул Рон, когда Гермиона подошла.
2367;Рон оглянулся: – А куда делась Гермиона?;– Или уже настучала на нас?
2368;– Может… может, в туалет пошла… или еще куда?;Рон оглянулся: – А куда делась Гермиона?
2369;– Как думаешь, Малфой ничего с ней не сделал?;– Может… может, в туалет пошла… или еще куда?
2370;– Ч-что такое?;– Как думаешь, Малфой ничего с ней не сделал? – тревожно спросил Рон.
2371;– Уже пора?;– Ч-что такое?
2372;А какой… какой сейчас урок?;– Уже пора?
2373;– Гермиона, ты почему не была на заклинаниях?;А какой… какой сейчас урок?
2374;– Что?!;– Гермиона, ты почему не была на заклинаниях?
2375;– Как ты могла забыть?;– Что?!
2376;– Профессор Флитвик очень сердился?;– Как ты могла забыть? – поразился Гарри.
2377;А кто дает темы для экзаменов?;– Профессор Флитвик очень сердился?
2378;– Видите что-нибудь?;А кто дает темы для экзаменов?
2379;– Кому-нибудь нужна помощь в интерпретации расплывчатых предзнаменований шара?;– Видите что-нибудь?
2380;– Что-то движется… но что?;– Кому-нибудь нужна помощь в интерпретации расплывчатых предзнаменований шара? – промурлыкала она под звяканье украшений.
2381;Помните, профессор?«В районе Пасхи один из нас покинет класс навсегда!»Вы зналидавным-давно,профессор!;– Что-то движется… но что?
2382;– Ну и денек у Гермионы, да?;Помните, профессор?«В районе Пасхи один из нас покинет класс навсегда!»Вы зналидавным-давно,профессор!
2383;Неужели профессор Трелони опять увидела Сгубита?;– Ну и денек у Гермионы, да? – восхищенно пробормотал Рон.
2384;И теперь он тоже увидит?;Неужели профессор Трелони опять увидела Сгубита?
2385;Что они с нами делают?!;И теперь он тоже увидит?
2386;Ты понял меня, да?;Что они с нами делают?!
2387;Сначала Гарри снилось, что он проспал и Древ вопит: «Ты где был?!;Ты понял меня, да?
2388;Это же просто Косолапсус… Или нет?;Сначала Гарри снилось, что он проспал и Древ вопит: «Ты где был?!
2389;Что бы это значило?;Или нет?
2390;Если Косолапсус тоже видит пса, как может пес быть знамением смерти Гарри?;Что бы это значило?
2391;– У?;Если Косолапсус тоже видит пса, как может пес быть знамением смерти Гарри?
2392;– Скажи, ты вот это видишь?;– У?
2393;– О чем ты?;– Скажи, ты вот это видишь?
2394;Куда?;– О чем ты?
2395;В первой колонке значилось: ПОНЕДЕЛЬНИК 9:00Арифмантика 9:00Превращения Обед 13:00Заклинания 13:00Древние руны – Гермиона?;Куда?
2396;– Э-э-э… Ты уверена, что правильно списала время?;В первой колонке значилось: ПОНЕДЕЛЬНИК 9:00Арифмантика 9:00Превращения Обед 13:00Заклинания 13:00Древние руны – Гермиона? – сказал Рон очень осторожно, потому что в последние дни она взрывалась, когда ей мешали.
2397;– Что?;Ты уверена, что правильно списала время?
2398;– Имеет ли смысл спрашивать, как ты попадешь на два экзамена одновременно?;– Что? – огрызнулась Гермиона.
2399;– Вы не видели мою «Нумерологию и грамматику»?;– Имеет ли смысл спрашивать, как ты попадешь на два экзамена одновременно? – полюбопытствовал Гарри.
2400;Испуганная Гермиона подняла глаза: – Они привезут на апелляцию палача?;– Вы не видели мою «Нумерологию и грамматику»?
2401;– Я пятьсот часов угрохал на эти книжки, и все коту под хвост?;Испуганная Гермиона подняла глаза: – Они привезут на апелляцию палача?
2402;– У моей вообще вместо хвоста носик остался, кошмар… – А черепахив принципедышат паром?;– Я пятьсот часов угрохал на эти книжки, и все коту под хвост?
2403;Как думаете, за это снимут баллы?;– А черепахив принципедышат паром?
2404;– Что случилось?;Как думаете, за это снимут баллы?
2405;– Только что с экзамена, как я понимаю?;– Что случилось?
2406;Почти закончили?;– Только что с экзамена, как я понимаю?
2407;– Это что же, значит, апелляция уже состоялась?;Почти закончили?
2408;Древний колдун прищурился на хижину Огрида и немощно проскрипел: – Святое небо, я для такого уже слишком стар… В два часа, да, Фудж?;– Это что же, значит, апелляция уже состоялась? – вмешался в разговор Рон, шагнув вперед.
2409;– Чего ты не дала мне сказать?;В два часа, да, Фудж?
2410;– сердито спросил Рон, когда они пришли на обед в Большой зал. – Ты их видела?;– Чего ты не дала мне сказать? – сердито спросил Рон, когда они пришли на обед в Большой зал.
2411;– Вы хоть раз видели в шарехоть что-нибудь?– жалобно спросил он.;– Ты их видела?
2412;Когда из люка по серебристой лестнице спускались те, кто уже отстрелялся, остальные шепотом галдели: – Что она спрашивала?;– Вы хоть раз видели в шарехоть что-нибудь?– жалобно спросил он.
2413;Как прошло?;Когда из люка по серебристой лестнице спускались те, кто уже отстрелялся, остальные шепотом галдели: – Что она спрашивала?
2414;– Ну как?;Как прошло?
2415;– Ну что?;– Ну как? – спросил Гарри, вставая.
2416;– Что там?;– Ну что? – деликатно спросила профессор Трелони.
2417;– Темная фигура… хм… – На что она похожа?;– Что там?
2418;– Мой мальчик, скорее всего, ты Видишь исход дела бедного Огрида, его тяжбы с министерством магии… Взгляни пристальнее… Как тебе кажется, у гиппогрифа есть… голова?;– На что она похожа? – подсказала профессор Трелони.
2419;– Ты уверен?;Как тебе кажется, у гиппогрифа есть… голова?
2420;– Ты вполне уверен?;– Ты уверен? – настаивала профессор Трелони.
2421;Быть может, он корчится на земле, а призрачная фигура заносит над ним топор?;– Ты вполне уверен?
2422;– Никакой крови?;Быть может, он корчится на земле, а призрачная фигура заносит над ним топор?
2423;Плачущего Огрида?;– Никакой крови?
2424;– П-простите?;Плачущего Огрида?
2425;Он помялся – может, в лазарет сбегать?;– П-простите? – переспросил Гарри.
2426;– Что-то не так, дорогой?;Он помялся – может, в лазарет сбегать?
2427;– Вы… вы сейчас мне сказали, что… Черный Лорд восстанет вновь… и к нему вернется его верный слуга… Профессор Трелони страшно перепугалась: – Черный Лорд?;– Что-то не так, дорогой?
2428;Тот-Кто-Не-Должен-Быть-Помянут?;Профессор Трелони страшно перепугалась: – Черный Лорд?
2429;Вниз по серебристой лестнице, а потом по винтовой Гарри спускался в полном недоумении… Он что, услышал настоящее предсказание?;Тот-Кто-Не-Должен-Быть-Помянут?
2430;Или профессор Трелони считает, что так эффектнее завершать экзамены?;Он что, услышал настоящее предсказание?
2431;– Что ему, в одиночестве сидеть там и палача ждать?;Или профессор Трелони считает, что так эффектнее завершать экзамены?
2432;– Будь у нас плащ-невидимка… – А где он?;– Что ему, в одиночестве сидеть там и палача ждать?
2433;– Если он увидиттебя… Как, ты говоришь, открывается постамент?;– А где он? – спросила Гермиона.
2434;– Неужели за плащом пошла?;Как, ты говоришь, открывается постамент?
2435;– Чаю хотите?;– Неужели за плащом пошла?
2436;– А где Конькур?;– Чаю хотите? – спросил он и дрожащей рукой потянулся к чайнику.
2437;– Вдруг что-то еще можно сделать?;– А где Конькур? – нерешительно спросила Гермиона.
2438;Рон вытаращил глаза: – Чего?;– Вдруг что-то еще можно сделать? – яростно спросил Гарри и подсел к Огриду.
2439;– Ты-то здесь откуда?;Рон вытаращил глаза: – Чего?
2440;– Огрид, мы не можем… – Мы расскажем, как все было… – Ну как можно его убить?.;– Ты-то здесь откуда?
2441;– Как… они… могли?;– Ну как можно его убить?. .
2442;–Как могли?;– Как… они… могли? – задыхалась она.
2443;– Да что с тобой такое, тупое животное?;–Как могли?
2444;– Да что с ним такое?;– Да что с тобой такое, тупое животное?
2445;– Как он догадался?.;– Да что с ним такое?
2446;– Где Рон?;– Как он догадался?. .
2447;– Куда ведет тоннель?;– Где Рон? – испуганно прошептала она.
2448;– Рон, ты как?;– Куда ведет тоннель? – задыхаясь, спросила Гермиона.
2449;– Где пес?;– Рон, ты как?
2450;– Гарри, это ловушка… – Что?.;– Где пес?
2451;– Вы меня слышали?;– Что?. .
2452;– Это еще почему?;– Вы меня слышали? – пролепетал Рон, цепляясь за Гарри, чтобы не упасть.
2453;Поубивали толпу муглов, лишь бы добраться до Петтигрю… Что это с вами?;– Это еще почему? – презрительно бросил Гарри, вырываясь из хватки Рона и Гермионы.
2454;В Азкабане добрели?;Что это с вами?
2455;– Хочешь меня убить?;В Азкабане добрели?
2456;– Но если бы ты знал всё… – Всё?;– Хочешь меня убить? – прошептал Блэк.
2457;– Ты не слышал, как она кричала, нет?;– Всё? – повторил Гарри.
2458;Допустим, придется убить и кота – что с того?;– Ты не слышал, как она кричала, нет?
2459;А потом Люпин заговорил – голос его был странен и напряженно вибрировал: – Где он, Сириус?;Допустим, придется убить и кота – что с того?
2460;О чем речь?;А потом Люпин заговорил – голос его был странен и напряженно вибрировал: – Где он, Сириус?
2461;Про кого Люпин спрашивает?;О чем речь?
2462;– Но тогда… – пробормотал Люпин, пристально глядя на Блэка, словно пытался прочесть его мысли, – …почему он не показался раньше?;Про кого Люпин спрашивает?
2463;Если только, – глаза у Люпина вдруг расширились, будто он увидел что-то незримое сквозь Блэка, – если только это неон… если вы не передумали… а мне не сказали?;– Но тогда… – пробормотал Люпин, пристально глядя на Блэка, словно пытался прочесть его мысли, – …почему он не показался раньше?
2464;– Профессор, – громко перебил Гарри, – что вообще?.;Если только, – глаза у Люпина вдруг расширились, будто он увидел что-то незримое сквозь Блэка, – если только это неон… если вы не передумали… а мне не сказали?
2465;– ЧТО?!;– Профессор, – громко перебил Гарри, – что вообще?. .
2466;Затем, явно через силу, спросил у Гермионы: – Давно ты знаешь?;– ЧТО?! – закричала Гермиона.
2467;– Он и задал его в надежде, что вы разгадаете мои симптомы… Ты, видимо, сверилась с картой луны и поняла, что я всегда болен в полнолуние?;Затем, явно через силу, спросил у Гермионы: – Давно ты знаешь?
2468;Или сообразила, что вризрак при виде меня превратился в луну?;Ты, видимо, сверилась с картой луны и поняла, что я всегда болен в полнолуние?
2469;– Думбльдор взял вас на работу, зная, что вы – оборотень?;Или сообразила, что вризрак при виде меня превратился в луну?
2470;– Он что, псих?;– Думбльдор взял вас на работу, зная, что вы – оборотень? – задохнулся Рон.
2471;Теперь вы меня выслушаете?;– Он что, псих?
2472;Это отвлекающий маневр?;Теперь вы меня выслушаете?
2473;– Если вы ему не помогали, – он гневно покосился на Блэка, – как вы тогда узнали, что он здесь?;Это отвлекающий маневр?
2474;Я рассматривал ее у себя в кабинете… – Вы знаете, как с ней обращаться?;– Если вы ему не помогали, – он гневно покосился на Блэка, – как вы тогда узнали, что он здесь?
2475;– Вы помогали?.;– Вы знаете, как с ней обращаться? – подозрительно спросил Гарри.
