Unnamed: 0,Natasha_no_hyphen1,Tokens,Lemmas,wh_words,wh_dicts,annotation
9555,Когда ты все успела?,5,"[{'SCONJ': 'когда'}, {'PRON': 'ты'}, {'PRON': 'весь'}, {'VERB': 'успеть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
9562,Да когда же они отстанут?,6,"[{'CCONJ': 'да'}, {'ADV': 'когда'}, {'PART': 'же'}, {'PRON': 'они'}, {'VERB': 'отстать'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
9761,"Сообщите, когда победите Вольдеморта, хорошо?",8,"[{'VERB': 'сообщить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'победить'}, {'PROPN': 'вольдеморт'}, {'PUNCT': ','}, {'ADJ': 'хороший'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
9775,"Есть ли у того шанс укрыться, когда Вольдеморт ищет его с таким упорством?",15,"[{'VERB': 'быть'}, {'PART': 'ли'}, {'ADP': 'у'}, {'DET': 'тот'}, {'NOUN': 'шанс'}, {'VERB': 'укрыться'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PROPN': 'вольдеморт'}, {'VERB': 'искать'}, {'PRON': 'он'}, {'ADP': 'с'}, {'DET': 'такой'}, {'NOUN': 'упорство'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
9899,"А теперь, когда этот важный вопрос решен, можно наконец подумать о еде?",15,"[{'CCONJ': 'а'}, {'ADV': 'теперь'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'DET': 'этот'}, {'ADJ': 'важный'}, {'NOUN': 'вопрос'}, {'VERB': 'решить'}, {'PUNCT': ','}, {'ADV': 'можно'}, {'ADV': 'наконец'}, {'VERB': 'подумать'}, {'ADP': 'о'}, {'NOUN': 'еда'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],1
9922,Потом вот встретил Дина… когда?,7,"[{'ADV': 'потом'}, {'PART': 'вот'}, {'VERB': 'встретить'}, {'PROPN': 'дин'}, {'PUNCT': '…'}, {'ADV': 'когда'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
9973,"Профессор Блэк, а не могли бы вы просто сказать нам,пожалуйста,когда меч в последний раз вынимали из ларца?",23,"[{'PROPN': 'профессор'}, {'PROPN': 'блэк'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PART': 'не'}, {'VERB': 'мочь'}, {'AUX': 'бы'}, {'PRON': 'вы'}, {'PART': 'просто'}, {'VERB': 'сказать'}, {'PRON': 'мы'}, {'PUNCT': ','}, {'ADV': 'пожалуйста'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'NOUN': 'меч'}, {'ADP': 'в'}, {'ADJ': 'последний'}, {'NOUN': 'раз'}, {'VERB': 'вынимать'}, {'ADP': 'из'}, {'NOUN': 'ларец'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
10108,"Помнишь, когда мы спасались от змеи, я сотворила взрывное заклятие?",13,"[{'VERB': 'помнить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'мы'}, {'VERB': 'спасаться'}, {'ADP': 'от'}, {'NOUN': 'змея'}, {'PUNCT': ','}, {'PRON': 'я'}, {'VERB': 'сотворить'}, {'ADJ': 'взрывной'}, {'NOUN': 'заклятие'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
10320,"Когда ты, Мерлинова борода, пробовал выменять свою дочечку на идиотскую шляпу?",14,"[{'SCONJ': 'когда'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'ADJ': 'мерлинов'}, {'NOUN': 'борода'}, {'PUNCT': ','}, {'VERB': 'пробовать'}, {'VERB': 'выменять'}, {'DET': 'свой'}, {'NOUN': 'дочечка'}, {'ADP': 'на'}, {'ADJ': 'идиотский'}, {'NOUN': 'шляпа'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
10386,"Надо думать, когда спасаешься от Упивающихся Смертью, шестнадцатифутовый сводный братик приходится очень кстати?",16,"[{'ADV': 'надо'}, {'VERB': 'думать'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'спасаться'}, {'ADP': 'от'}, {'PROPN': 'упиваться'}, {'PROPN': 'смерть'}, {'PUNCT': ','}, {'VERB': 'шестнадцатифутовый'}, {'ADJ': 'сводный'}, {'NOUN': 'братик'}, {'VERB': 'приходиться'}, {'ADV': 'очень'}, {'ADV': 'кстати'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
10749,"Вы просто отправьте их по проходу, когда появятся, ладно?",12,"[{'PRON': 'вы'}, {'PART': 'просто'}, {'VERB': 'отправить'}, {'PRON': 'они'}, {'ADP': 'по'}, {'NOUN': 'проход'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'появиться'}, {'PUNCT': ','}, {'PART': 'ладно'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
10796,Когда она потерялась?,4,"[{'SCONJ': 'когда'}, {'PRON': 'она'}, {'VERB': 'потеряться'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
10820,Когда до нее доберется Черный Лорд?,7,"[{'SCONJ': 'когда'}, {'ADP': 'до'}, {'PRON': 'она'}, {'VERB': 'добраться'}, {'ADJ': 'черный'}, {'PROPN': 'лорд'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
10901,"И не тот ли албанский лес десять лет служил Вольдеморту укрытием много позже, когда потребовалось тихо отлежаться в уединении?",21,"[{'CCONJ': 'и'}, {'PART': 'не'}, {'DET': 'тот'}, {'PART': 'ли'}, {'ADJ': 'албанский'}, {'NOUN': 'лес'}, {'NUM': 'десять'}, {'NOUN': 'год'}, {'VERB': 'служить'}, {'PROPN': 'вольдеморт'}, {'NOUN': 'укрытие'}, {'ADV': 'много'}, {'ADV': 'поздний'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'потребоваться'}, {'ADV': 'тихо'}, {'VERB': 'отлежаться'}, {'ADP': 'в'}, {'NOUN': 'уединение'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
11156,"Значит, вы уже бросили искать Дары, когда увидели плащ?",12,"[{'VERB': 'значить'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'ADV': 'уже'}, {'VERB': 'бросить'}, {'VERB': 'искать'}, {'PROPN': 'дар'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'увидеть'}, {'NOUN': 'плащ'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
11193,"Что-то будет с твоими детками, когда я тебя укокошу?",11,"[{'PRON': 'что-то'}, {'AUX': 'быть'}, {'ADP': 'с'}, {'DET': 'твой'}, {'NOUN': 'ребеночек'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'я'}, {'PRON': 'ты'}, {'VERB': 'укокошить'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
