;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
2120;Знаете, чего я делал?;6;[{'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PRON': 'я'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2121;Откуда ж мне было знать, что он вовсе не горюет об Лили с Джеймсом?;16;[{'ADV': 'откуда'}, {'PART': 'ж'}, {'PRON': 'я'}, {'AUX': 'быть'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'ADV': 'вовсе'}, {'PART': 'не'}, {'VERB': 'горевать'}, {'ADP': 'о'}, {'PROPN': 'лили'}, {'ADP': 'с'}, {'PROPN': 'джеймс'}, {'PUNCT': '?'}];"откуда; что";[{'ADV': 'откуда'}, {'SCONJ': 'что'}]
2122;Ну как я не допер, что он чего-то затевает?;11;[{'PART': 'ну'}, {'ADV': 'как'}, {'PRON': 'я'}, {'PART': 'не'}, {'VERB': 'допереть'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'PRON': 'что-то'}, {'VERB': 'затевать'}, {'PUNCT': '?'}];"как; что";[{'ADV': 'как'}, {'SCONJ': 'что'}]
2123;Он же колымагу свою просто обожал, с чего ж мне-то ее отдавать?;14;[{'PRON': 'он'}, {'PART': 'же'}, {'VERB': 'колымага'}, {'DET': 'свой'}, {'PART': 'просто'}, {'VERB': 'обожать'}, {'PUNCT': ','}, {'ADP': 'с'}, {'PRON': 'что'}, {'PART': 'ж'}, {'PART': 'мне-то'}, {'PRON': 'она'}, {'VERB': 'отдавать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2124;С какой стати она ему не нужна сделалась?;9;[{'ADP': 'с'}, {'DET': 'какой'}, {'NOUN': 'стать'}, {'PRON': 'она'}, {'PRON': 'он'}, {'PART': 'не'}, {'ADJ': 'нужный'}, {'ADJ': 'сделаться'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
2125;Блэк и понял, надо бежать, у него, может, пара часов, пока министерство не снарядило погоню…А чего б было, если б я ему отдал Гарри, а?;35;[{'PROPN': 'блэк'}, {'CCONJ': 'и'}, {'VERB': 'понять'}, {'PUNCT': ','}, {'ADV': 'надо'}, {'VERB': 'бежать'}, {'PUNCT': ','}, {'ADP': 'у'}, {'PRON': 'он'}, {'PUNCT': ','}, {'VERB': 'мочь'}, {'PUNCT': ','}, {'NOUN': 'пара'}, {'NOUN': 'час'}, {'PUNCT': ','}, {'SCONJ': 'пока'}, {'NOUN': 'министерство'}, {'PART': 'не'}, {'VERB': 'снарядить'}, {'NOUN': 'погоня'}, {'PUNCT': '…'}, {'CCONJ': 'а'}, {'PRON': 'что'}, {'PART': 'б'}, {'AUX': 'быть'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'AUX': 'б'}, {'PRON': 'я'}, {'PRON': 'он'}, {'VERB': 'отдать'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2126;Петтигрю… такой толстячок, хвостом за Поттером и его компанией таскался?;13;[{'PROPN': 'петтигря'}, {'PUNCT': '…'}, {'DET': 'такой'}, {'NOUN': 'толстячок'}, {'PUNCT': ','}, {'NOUN': 'хвост'}, {'ADP': 'за'}, {'PROPN': 'поттер'}, {'CCONJ': 'и'}, {'DET': 'его'}, {'NOUN': 'компания'}, {'NOUN': 'таскаться'}, {'PUNCT': '?'}];0;0
2127;Как ты мог?;4;[{'ADV': 'как'}, {'PRON': 'ты'}, {'VERB': 'мочь'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
2128;А это правда, что он сумасшедший, министр?;10;[{'CCONJ': 'а'}, {'PRON': 'это'}, {'NOUN': 'правда'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'NOUN': 'сумасшедший'}, {'PUNCT': ','}, {'NOUN': 'министр'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
2129;А зачем, как вы думаете, он сбежал?;10;[{'CCONJ': 'а'}, {'ADV': 'зачем'}, {'PUNCT': ','}, {'ADV': 'как'}, {'PRON': 'вы'}, {'VERB': 'думать'}, {'PUNCT': ','}, {'PRON': 'он'}, {'VERB': 'сбежать'}, {'PUNCT': '?'}];"зачем; как";[{'ADV': 'зачем'}, {'ADV': 'как'}]
2130;Всемилостивое небо, неужели Сами-Знаете-Кого разыскивать?;7;[{'ADJ': 'всемилостивый'}, {'NOUN': 'небо'}, {'PUNCT': ','}, {'PART': 'неужели'}, {'ADV': 'сами-знаете-кого'}, {'VERB': 'разыскивать'}, {'PUNCT': '?'}];0;0
2132;Почему никто никогда и ничего ему не рассказывал?;9;[{'ADV': 'почему'}, {'PRON': 'никто'}, {'ADV': 'никогда'}, {'CCONJ': 'и'}, {'PRON': 'ничто'}, {'PRON': 'он'}, {'PART': 'не'}, {'VERB': 'рассказывать'}, {'PUNCT': '?'}];почему;[{'ADV': 'почему'}]
2133;Почему никто не говорил, что его родителей погубило предательство лучшего друга?;13;[{'ADV': 'почему'}, {'PRON': 'никто'}, {'PART': 'не'}, {'VERB': 'говорить'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'NOUN': 'родитель'}, {'VERB': 'погубить'}, {'NOUN': 'предательство'}, {'ADJ': 'хороший'}, {'NOUN': 'друг'}, {'PUNCT': '?'}];"почему; что";[{'ADV': 'почему'}, {'SCONJ': 'что'}]
2134;Интересно, он тогда уже работал на Вольдеморта?;9;[{'ADJ': 'интересный'}, {'PUNCT': ','}, {'PRON': 'он'}, {'ADV': 'тогда'}, {'ADV': 'уже'}, {'VERB': 'работать'}, {'ADP': 'на'}, {'PROPN': 'вольдеморт'}, {'PUNCT': '?'}];0;0
2135;Уже планировал убить двоих, что стоят рядом?;9;[{'ADV': 'уже'}, {'VERB': 'планировать'}, {'VERB': 'убить'}, {'NUM': 'двое'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'VERB': 'стоять'}, {'ADV': 'рядом'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
2136;Понимал, что ему предстоят двенадцать лет в Азкабане – двенадцать лет, которые изменят его до неузнаваемости?;19;[{'VERB': 'понимать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'VERB': 'предстоять'}, {'NUM': 'двенадцать'}, {'NOUN': 'год'}, {'ADP': 'в'}, {'PROPN': 'азкабан'}, {'PUNCT': '–'}, {'NUM': 'двенадцать'}, {'NOUN': 'год'}, {'PUNCT': ','}, {'PRON': 'который'}, {'VERB': 'изменить'}, {'PRON': 'он'}, {'ADP': 'до'}, {'NOUN': 'неузнаваемость'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
2137;А где все?;4;[{'CCONJ': 'а'}, {'ADV': 'где'}, {'PRON': 'весь'}, {'PUNCT': '?'}];где;[{'ADV': 'где'}]
2138;Первый день каникул, забыл?;6;[{'ADJ': 'первый'}, {'NOUN': 'день'}, {'NOUN': 'каникулы'}, {'PUNCT': ','}, {'VERB': 'забыть'}, {'PUNCT': '?'}];0;0
2139;Каких, например?;4;[{'DET': 'какой'}, {'PUNCT': ','}, {'ADV': 'например'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
2140;Ты же не будешь, Гарри?;7;[{'PRON': 'ты'}, {'PART': 'же'}, {'PART': 'не'}, {'AUX': 'быть'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];0;0
2141;Вы знаете, что я слышу всякий раз, когда приближаются дементоры?;13;[{'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'я'}, {'VERB': 'слышать'}, {'DET': 'всякий'}, {'NOUN': 'раз'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'VERB': 'приближаться'}, {'NOUN': 'дементор'}, {'PUNCT': '?'}];"что; когда";[{'SCONJ': 'что'}, {'ADV': 'когда'}]
2142;И что?;3;[{'CCONJ': 'и'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2143;Ты хочешь… убить Блэка или что?;8;[{'PRON': 'ты'}, {'VERB': 'хотеть'}, {'PUNCT': '…'}, {'VERB': 'убить'}, {'PROPN': 'блэк'}, {'CCONJ': 'или'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2144;Гарри не будет никого убивать, правда, Гарри?;10;[{'PROPN': 'гарри'}, {'PART': 'не'}, {'AUX': 'быть'}, {'PRON': 'никто'}, {'VERB': 'убивать'}, {'PUNCT': ','}, {'ADV': 'правда'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];0;0
2145;Помните, что он сказал тогда на зельеделии?;9;[{'VERB': 'помнить'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PRON': 'он'}, {'VERB': 'сказать'}, {'ADV': 'тогда'}, {'ADP': 'на'}, {'NOUN': 'зельеделий'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2146;То есть совет Малфоя важнее нашего?;7;[{'PRON': 'тот'}, {'VERB': 'быть'}, {'NOUN': 'совет'}, {'PROPN': 'малфой'}, {'ADJ': 'важнее'}, {'DET': 'наш'}, {'PUNCT': '?'}];0;0
2147;А ты знаешь, что получила мать Петтигрю, когда его прикончил Сириус Блэк?;15;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'что'}, {'VERB': 'получить'}, {'NOUN': 'мать'}, {'PROPN': 'петтигря'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'DET': 'его'}, {'NOUN': 'прикончить'}, {'X': 'сириус'}, {'PROPN': 'блэк'}, {'PUNCT': '?'}];"что; когда";[{'PRON': 'что'}, {'SCONJ': 'когда'}]
2148;Давай ты будешь говорить «Сам-Знаешь-Кто»?;8;[{'VERB': 'давать'}, {'PRON': 'ты'}, {'AUX': 'быть'}, {'VERB': 'говорить'}, {'PUNCT': '«'}, {'NOUN': 'сам-знаешь-кто'}, {'PUNCT': '»'}, {'PUNCT': '?'}];0;0
2149;Не мог же он уйти?;6;[{'PART': 'не'}, {'VERB': 'мочь'}, {'PART': 'же'}, {'PRON': 'он'}, {'VERB': 'уйти'}, {'PUNCT': '?'}];0;0
2150;Сами послушайте – Клык, что ли?;8;[{'ADJ': 'сам'}, {'VERB': 'послушать'}, {'PUNCT': '–'}, {'PROPN': 'клык'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PART': 'ли'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2151;Может, сходить привести кого-нибудь?;6;[{'VERB': 'мочь'}, {'PUNCT': ','}, {'VERB': 'сходить'}, {'VERB': 'привести'}, {'PRON': 'кто-нибудь'}, {'PUNCT': '?'}];0;0
2152;Огрид, ты там?;5;[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'ADV': 'там'}, {'PUNCT': '?'}];0;0
2153;Огрид,что случилось?;5;[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'PRON': 'что'}, {'VERB': 'случиться'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2154;Огрид, это что?;5;[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'PRON': 'это'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2155;А что Думбльдор?;4;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2156;Может… чаю заварить?;5;[{'VERB': 'мочь'}, {'PUNCT': '…'}, {'VERB': 'чаять'}, {'VERB': 'заварить'}, {'PUNCT': '?'}];0;0
2157;Кстати, а… как поживают скучечерви?;8;[{'ADV': 'кстати'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '…'}, {'SCONJ': 'как'}, {'ADJ': 'поживать'}, {'NOUN': 'скучечерви'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
2158;Очень страшно было, Огрид?;6;[{'ADV': 'очень'}, {'ADJ': 'страшный'}, {'AUX': 'быть'}, {'PUNCT': ','}, {'PROPN': 'огрид'}, {'PUNCT': '?'}];0;0
2159;А им-то что?;4;[{'CCONJ': 'а'}, {'ADV': 'им-то'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2160;Хотел выпустить Конькура… шугал его, шугал, кыш, мол, отсюда… да как объяснишь гиппогрифу, что ему надо скрыться?;25;[{'VERB': 'хотеть'}, {'VERB': 'выпустить'}, {'PROPN': 'конькур'}, {'PUNCT': '…'}, {'VERB': 'шугать'}, {'PRON': 'он'}, {'PUNCT': ','}, {'NOUN': 'шугать'}, {'PUNCT': ','}, {'NOUN': 'кыш'}, {'PUNCT': ','}, {'ADV': 'мол'}, {'PUNCT': ','}, {'ADV': 'отсюда'}, {'PUNCT': '…'}, {'CCONJ': 'да'}, {'SCONJ': 'как'}, {'VERB': 'объяснить'}, {'NOUN': 'гиппогриф'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'он'}, {'ADV': 'надо'}, {'VERB': 'скрыться'}, {'PUNCT': '?'}];"как; что";[{'SCONJ': 'как'}, {'SCONJ': 'что'}]
2161;Очередной свитер от мамы…опятьсвекольный… у тебя-то свитер есть?;12;[{'ADJ': 'очередной'}, {'NOUN': 'свитер'}, {'ADP': 'от'}, {'NOUN': 'мама'}, {'PUNCT': '…'}, {'VERB': 'опятьсвекольный'}, {'PUNCT': '…'}, {'ADP': 'у'}, {'NOUN': 'ты-то'}, {'NOUN': 'свитер'}, {'VERB': 'быть'}, {'PUNCT': '?'}];0;0
2162;А там что?;4;[{'CCONJ': 'а'}, {'ADV': 'там'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2163;Кто тебе это прислал?;5;[{'PRON': 'кто'}, {'PRON': 'ты'}, {'PRON': 'это'}, {'VERB': 'прислать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2164;Посмотри, там есть открытка или записка?;8;[{'VERB': 'посмотреть'}, {'PUNCT': ','}, {'ADV': 'там'}, {'VERB': 'быть'}, {'NOUN': 'открытка'}, {'CCONJ': 'или'}, {'NOUN': 'записка'}, {'PUNCT': '?'}];0;0
2165;Мама дорогая, да кто ж потратил на тебя столько денег?;12;[{'NOUN': 'мама'}, {'ADJ': 'дорогой'}, {'PUNCT': ','}, {'CCONJ': 'да'}, {'PRON': 'кто'}, {'PART': 'ж'}, {'VERB': 'потратить'}, {'ADP': 'на'}, {'PRON': 'ты'}, {'NUM': 'столько'}, {'NOUN': 'деньга'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2166;–Кто?. .;4;[{'PUNCT': '–'}, {'PRON': 'кто'}, {'PUNCT': '?.'}, {'PUNCT': '.'}];кто;[{'PRON': 'кто'}]
2168;–Люпин?Ты что!;6;[{'PUNCT': '–'}, {'PROPN': 'люпин'}, {'PUNCT': '?'}, {'PRON': 'ты'}, {'PRON': 'что'}, {'PUNCT': '!'}];что;[{'PRON': 'что'}]
2169;В каком смысле – съездить?;6;[{'ADP': 'в'}, {'DET': 'какой'}, {'NOUN': 'смысл'}, {'PUNCT': '–'}, {'VERB': 'съездить'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
2170;Помнишь, меня Злей наказал?;6;[{'VERB': 'помнить'}, {'PUNCT': ','}, {'PRON': 'я'}, {'PROPN': 'злеть'}, {'VERB': 'наказать'}, {'PUNCT': '?'}];0;0
2171;Вы чего смеетесь?;4;[{'PRON': 'вы'}, {'PRON': 'что'}, {'VERB': 'смеяться'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2172;Аэтокто тебе прислал?;4;[{'PROPN': 'аэтокто'}, {'PRON': 'ты'}, {'VERB': 'прислать'}, {'PUNCT': '?'}];0;0
2173;Ты чего?;3;[{'PRON': 'ты'}, {'ADV': 'чего'}, {'PUNCT': '?'}];0;0
2174;Это ведь довольно хорошая метла?;6;[{'PRON': 'это'}, {'PART': 'ведь'}, {'ADV': 'довольно'}, {'ADJ': 'хороший'}, {'NOUN': 'метла'}, {'PUNCT': '?'}];0;0
2175;Кто мог прислать такую дорогую вещь анонимно?;8;[{'PRON': 'кто'}, {'VERB': 'мочь'}, {'VERB': 'прислать'}, {'DET': 'такой'}, {'ADJ': 'дорогой'}, {'NOUN': 'вещь'}, {'ADV': 'анонимно'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2176;Какая разница?;3;[{'DET': 'какой'}, {'NOUN': 'разница'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
2177;Слушай, Гарри, можно, я прокачусь?;9;[{'VERB': 'слушать'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'ADV': 'можно'}, {'PUNCT': ','}, {'PRON': 'я'}, {'VERB': 'прокатиться'}, {'PUNCT': '?'}];0;0
2179;А что, по-твоему, ею надо делать?;9;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'по-твоему'}, {'PUNCT': ','}, {'PRON': 'она'}, {'ADV': 'надо'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2180;Пол подметать?;3;[{'NOUN': 'пол'}, {'VERB': 'подметать'}, {'PUNCT': '?'}];0;0
2181;Плоховато он выглядит, да?;6;[{'PROPN': 'плоховатый'}, {'PRON': 'он'}, {'VERB': 'выглядеть'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
2182;Кто я такая, чтобы сопротивляться велению судьбы?;9;[{'PRON': 'кто'}, {'PRON': 'я'}, {'DET': 'такой'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'VERB': 'сопротивляться'}, {'NOUN': 'веление'}, {'NOUN': 'судьба'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2183;Рубца, Сибилла?;4;[{'PROPN': 'рубец'}, {'PUNCT': ','}, {'PROPN': 'сибилла'}, {'PUNCT': '?'}];0;0
2184;А где же наш дорогой профессор Люпин?;8;[{'CCONJ': 'а'}, {'ADV': 'где'}, {'PART': 'же'}, {'DET': 'наш'}, {'ADJ': 'дорогой'}, {'NOUN': 'профессор'}, {'PROPN': 'люпин'}, {'PUNCT': '?'}];где;[{'ADV': 'где'}]
2185;Но ведь вы об этом уже знали, Сибилла?;10;[{'CCONJ': 'но'}, {'PART': 'ведь'}, {'PRON': 'вы'}, {'ADP': 'о'}, {'PRON': 'это'}, {'ADV': 'уже'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PROPN': 'сибилла'}, {'PUNCT': '?'}];0;0
2186;Злотеус, вы уже приготовили ему новую порцию зелья?;10;[{'PROPN': 'злотеус'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'ADV': 'уже'}, {'VERB': 'приготовить'}, {'PRON': 'он'}, {'ADJ': 'новый'}, {'NOUN': 'порция'}, {'NOUN': 'зелье'}, {'PUNCT': '?'}];0;0
2187;Дерек, ты пробовал чиполату?;6;[{'PROPN': 'дерек'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'VERB': 'пробовать'}, {'NOUN': 'чиполата'}, {'PUNCT': '?'}];0;0
2188;Кто из вас встал первым?;6;[{'PRON': 'кто'}, {'ADP': 'из'}, {'PRON': 'вы'}, {'VERB': 'встать'}, {'ADJ': 'первый'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2190;Ты идешь?;3;[{'PRON': 'ты'}, {'VERB': 'идти'}, {'PUNCT': '?'}];0;0
2193;При ней не было письма, Поттер?;8;[{'ADP': 'при'}, {'PRON': 'она'}, {'PART': 'не'}, {'AUX': 'быть'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];0;0
2199;На части?;3;[{'ADP': 'на'}, {'NOUN': 'часть'}, {'PUNCT': '?'}];0;0
2200;Ну и зачем ты помчалась к Макгонаголл?;8;[{'PART': 'ну'}, {'CCONJ': 'и'}, {'ADV': 'зачем'}, {'PRON': 'ты'}, {'VERB': 'помчаться'}, {'ADP': 'к'}, {'PROPN': 'макгонаголл'}, {'PUNCT': '?'}];зачем;[{'ADV': 'зачем'}]
2201;И если сейчас – в чем Гарри не сомневался – с метлой все в порядке, в каком порядке она будет потом, после антизаговорных проверок?;27;[{'CCONJ': 'и'}, {'SCONJ': 'если'}, {'ADV': 'сейчас'}, {'PUNCT': '–'}, {'ADP': 'в'}, {'PRON': 'что'}, {'PROPN': 'гарри'}, {'PART': 'не'}, {'VERB': 'сомневаться'}, {'PUNCT': '–'}, {'ADP': 'с'}, {'NOUN': 'метла'}, {'PRON': 'весь'}, {'ADP': 'в'}, {'NOUN': 'порядок'}, {'PUNCT': ','}, {'ADP': 'в'}, {'DET': 'какой'}, {'NOUN': 'порядок'}, {'PRON': 'она'}, {'VERB': 'быть'}, {'ADV': 'потом'}, {'PUNCT': ','}, {'ADP': 'после'}, {'ADJ': 'антизаговорный'}, {'NOUN': 'проверка'}, {'PUNCT': '?'}];"что; какой";[{'PRON': 'что'}, {'DET': 'какой'}]
2202;Хорошо провел Рождество?;4;[{'ADV': 'хорошо'}, {'VERB': 'провести'}, {'PROPN': 'рождество'}, {'PUNCT': '?'}];0;0
2203;Кстати, новую метлу-то заказал?;6;[{'ADV': 'кстати'}, {'PUNCT': ','}, {'ADJ': 'новый'}, {'NOUN': 'метла-то'}, {'VERB': 'заказать'}, {'PUNCT': '?'}];0;0
2205;«Всполох»?;4;[{'PUNCT': '«'}, {'PROPN': 'всполох'}, {'PUNCT': '»'}, {'PUNCT': '?'}];0;0
2207;Настоящий «Всполох»?;5;[{'ADJ': 'настоящий'}, {'PUNCT': '«'}, {'PROPN': 'всполох'}, {'PUNCT': '»'}, {'PUNCT': '?'}];0;0
2209;С какой еще стати?;5;[{'ADP': 'с'}, {'DET': 'какой'}, {'ADV': 'еще'}, {'ADJ': 'стати'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
2210;Как, скажите на милость, они себе это представляют?;11;[{'ADV': 'как'}, {'PUNCT': ','}, {'VERB': 'сказать'}, {'ADP': 'на'}, {'NOUN': 'милость'}, {'PUNCT': ','}, {'PRON': 'они'}, {'PRON': 'себя'}, {'PRON': 'это'}, {'VERB': 'представлять'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
2211;Блэк что, вот так запросто зашел в магазин и купилметлу?;12;[{'PROPN': 'блэк'}, {'PRON': 'что'}, {'PUNCT': ','}, {'PART': 'вот'}, {'ADV': 'так'}, {'VERB': 'запросто'}, {'VERB': 'зайти'}, {'ADP': 'в'}, {'NOUN': 'магазин'}, {'CCONJ': 'и'}, {'NOUN': 'купилметла'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2212;В восемь вечера в четверг устроит?;7;[{'ADP': 'в'}, {'NUM': 'восемь'}, {'NOUN': 'вечер'}, {'ADP': 'в'}, {'NOUN': 'четверг'}, {'VERB': 'устроить'}, {'PUNCT': '?'}];0;0
2213;Все еще так себе выглядит, да?;8;[{'PART': 'все'}, {'ADV': 'еще'}, {'ADV': 'так'}, {'PRON': 'себя'}, {'VERB': 'выглядеть'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
2214;Как думаешь, Гарри, что с ним такое?;10;[{'SCONJ': 'как'}, {'VERB': 'думать'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADP': 'с'}, {'PRON': 'он'}, {'DET': 'такой'}, {'PUNCT': '?'}];"как; что";[{'SCONJ': 'как'}, {'SCONJ': 'что'}]
2215;И чего фыркаем?;4;[{'CCONJ': 'и'}, {'PRON': 'что'}, {'VERB': 'фыркать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2216;Разве это неочевидно?;4;[{'PART': 'разве'}, {'PRON': 'это'}, {'ADJ': 'неочевидный'}, {'PUNCT': '?'}];0;0
2217;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2218;А что оно делает?;5;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PRON': 'оно'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2219;А как выглядит Заступник?;5;[{'CCONJ': 'а'}, {'ADV': 'как'}, {'VERB': 'выглядеть'}, {'PROPN': 'заступник'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
2220;А как его вызвать?;5;[{'CCONJ': 'а'}, {'ADV': 'как'}, {'PRON': 'он'}, {'VERB': 'вызвать'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
2221;Гарри порылся в памяти: что у него там на предмет счастливых воспоминаний?;14;[{'PROPN': 'гарри'}, {'VERB': 'порыться'}, {'ADP': 'в'}, {'NOUN': 'память'}, {'PUNCT': ':'}, {'SCONJ': 'что'}, {'ADP': 'у'}, {'PRON': 'он'}, {'ADV': 'там'}, {'ADP': 'на'}, {'NOUN': 'предмет'}, {'ADJ': 'счастливый'}, {'NOUN': 'воспоминание'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
2222;Сосредоточился на счастливом воспоминании?;5;[{'VERB': 'сосредоточиться'}, {'ADP': 'на'}, {'ADJ': 'счастливый'}, {'NOUN': 'воспоминание'}, {'PUNCT': '?'}];0;0
2223;Вы видели?;3;[{'PRON': 'вы'}, {'VERB': 'видеть'}, {'PUNCT': '?'}];0;0
2224;Ну что?;3;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2225;Готов испробовать на дементоре?;5;[{'ADJ': 'готовый'}, {'VERB': 'испробовать'}, {'ADP': 'на'}, {'NOUN': 'дементор'}, {'PUNCT': '?'}];0;0
2226;Вот-вот он вновь услышит крик своей матери… но об этом нельзя думать, а то и впрямь услышит, а он этого совсем не хочет… или хочет?;30;[{'PART': 'вот-вот'}, {'PRON': 'он'}, {'ADV': 'вновь'}, {'VERB': 'услышать'}, {'NOUN': 'крик'}, {'DET': 'свой'}, {'NOUN': 'мать'}, {'PUNCT': '…'}, {'CCONJ': 'но'}, {'ADP': 'о'}, {'PRON': 'это'}, {'ADV': 'нельзя'}, {'VERB': 'думать'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'тот'}, {'PART': 'и'}, {'ADV': 'впрямь'}, {'VERB': 'услышать'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'он'}, {'PRON': 'это'}, {'ADV': 'совсем'}, {'PART': 'не'}, {'VERB': 'хотеть'}, {'PUNCT': '…'}, {'CCONJ': 'или'}, {'VERB': 'хотеть'}, {'PUNCT': '?'}];0;0
2227;Ты как?;3;[{'PRON': 'ты'}, {'ADV': 'как'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
2228;А если дементоры придут на матч с «Вранзором»?;11;[{'CCONJ': 'а'}, {'SCONJ': 'если'}, {'NOUN': 'дементор'}, {'VERB': 'прийти'}, {'ADP': 'на'}, {'NOUN': 'матч'}, {'ADP': 'с'}, {'PUNCT': '«'}, {'PROPN': 'вранзор'}, {'PUNCT': '»'}, {'PUNCT': '?'}];0;0
2230;Ты слышал Джеймса?;4;[{'PRON': 'ты'}, {'VERB': 'слышать'}, {'PROPN': 'джеймс'}, {'PUNCT': '?'}];0;0
