ID;Russian;English
318;Талант, батюшки мои, талантище – и такая жажда проявить себя, вот ведь что интересно… Куда же мне тебя определить?;Powdered root of what to an infusion of what?
319;– Только не в «Слизерин», говоришь?;"Potter, where would you look if I told you to find me a bezoar?"""
320;– Уверен?;"""Thought you wouldn't open a book before coming, eh, Potter?"""
321;Ты мог бы стать великим, знаешь, тут в голове все есть, а «Слизерин» выведет тебя прямиком к величию, без сомненья, – не хочешь?;He had looked through his books at the Dursleys', but did Snape expect him to remember everything in One Thousand Magical Herbs and Fungi?
322;Нет?;"""What is the difference, Potter, between monkshood and wolfsbane?"""
323;– Он что – слегка того?;"""I think Hermione does, though, why don't you try her?"""
324;– Того?;Well?
325;Картошки, Гарри?;"Why aren't you all copying that down?"""
326;– А вам нельзя?;"""I suppose you added the porcupine quills before taking the cauldron off the fire?"""
327;Кажется, я не представился?;"""You -- Potter -- why didn't you tell him not to add the quills?"
328;– Я быпредпочел,чтобы меня называли сэром Николасом де Мимси… – холодно начал призрак, но его перебил Шеймас Финниган:    – ПочтиБезголовый?;Thought he'd make you look good if he got it wrong, did you?
329;Как это –почтибезголовый?;He'd lost two points for Gryffindor in his very first week -- why did Snape hate him so much?
330;Надеюсь, уж с вами-то мы выиграем кубок?;"Can I come and meet Hagrid with you?"""
331;– А чего это он весь в крови?;"""Another Weasley, eh?"""
332;– А ты, Невилл?;D'yeh know, every time I go up ter the school, she follows me everywhere?
333;– Что такое?;"""Why should he?"""
334;– Кто это разговаривает с профессором Страунсом?;"""How's yer brother Charlie?"""
335;– А, ты уже знаешь Страунса?;Had that been what the thieves were looking for?
336;– Он серьезно?;Had Hagrid collected that package just in time?
337;– Мне что, пожаловаться Кровавому Барону?;Where was it now?
338;– Пароль?;And did Hagrid know something about Snape that he didn't want to tell Harry?
339;– Кормежка отличная, да?;"""What's going on?"""
340;Жует простынку, представляешь?;"""Well, what are you all waiting for?"""
341;– Где?;"""Did you see his face, the great lump?"""
342;– В очках?;"""Ooh, sticking up for Longbottom?"""
343;– Видели его лицо?;"""I think I'll leave it somewhere for Longbottom to find -- how about -- up a tree?"""
344;– А шрам видели?;"""Oh, yeah?"""
345;А сами занятия, когда наконец удавалось отыскать класс?;What would the Dursleys say when he turned up on the doorstep?
346;– Что у нас сегодня?;"""Excuse me, Professor Flitwick, could I borrow Wood for a moment?"""
347;Очень кривыми каракулями там было написано:     Дорогой Гарри,    Знаю, что в пятницу после обеда ты свободен, не желаешь ли попить со мной чайку, часика в три?;Wood?
348;– Что получится, если смешать толченый корень златоцветника с настойкой артемизии?;"thought Harry, bewildered; was Wood a cane she was going to use on him?"
349;Толченый корень чего с настойкой чего?Гарри глянул на Рона – тот был ошарашен ничуть не меньше, зато рука Гермионы так и взлетела.;"""Are you serious, Professor?"""
350;Поттер, где бы вы стали искать, если б я попросил вас принести безоар?;"Was that your first time on a broomstick, Potter?"""
351;– Полагаю, до школы вы и не заглядывали в книги… Верно, Поттер?;"""Ever seen a game of Quidditch, Potter?"""
352;В книги он заглядывал, но неужто надо было запомнить все, что написано в «Тысяче волшебных трав и грибов»?;"""Seeker?"""
353;– В чем разница, Поттер, между волчьим корнем и синим борцем?;"""Having a last meal, Potter?"
354;– Зато, кажется, знает Гермиона – может, спросите ее?;"When are you getting the train back to the Muggles?"""
355;Ну-с?;What's the matter?
356;Почему никто не записывает?;"Never heard of a wizard's duel before, I suppose?"""
357;– Вы что, положили иглы дикобраза, не сняв котел с огня?;"""I'm his second, who's yours?"""
358;И тут же обрушился на Гарри и Рона, работавших рядом с Невиллом: – Вы, Поттер, – почему вы не помешали ему добавить иглы?;"""Midnight all right?"
359;Хотели покрасоваться на его фоне?;"""What is a wizard's duel?"""
360;Я умник, а он дурак?;"""And what do you mean, you're my second?"""
361;Из-за него «Гриффиндор» потерял два балла в первую же неделю… Отчего же Злей так его ненавидит?;"""And what if I wave my wand and nothing happens?"""
362;Можно, я пойду с тобой к Огриду?;"""Can't a person eat in peace in this place?"""
363;– Опять Уизли, а?;"""Now what am I going to do?"""
364;– А эта его кошатина, миссис Норрис, – ее бы с Клыком познакомить, а?;"""D'you think I'm going to stand out here and wait for Filch to catch me?"
365;– С какой такой стати?;"Norris?"""
366;– А как там твой братец Чарли?;"""How's your arm?"""
367;Неужели неизвестные воры охотились за ним?;"""You realize that, don't you?"
368;Значит, Огрид забрал пакет вовремя?;"""Wandering around at midnight, Ickle Firsties?"
369;И где же этот пакет теперь?;"""Which way did they go, Peeves?"""
370;И знает ли Огрид про Злея такое, о чем не желает говорить?;"""Don't mess with me, Peeves, now where did they go?"""
371;К несчастью, профессор Макгонаголл с ее удивительным нюхом на потасовки в мгновение ока оказалась рядом:    – В чем дело?;"""What?"""
372;– Ну и чего мы ждем?;"""Where on earth have you all been?"""
373;– Она повернулась к остальным: – Я отведу его в лазарет, а вам – не сходитьс места и метлы пальцем не трогать, ясно?;"""What do they think they're doing, keeping a thing like that locked up in a school?"""
374;Едва они отошли, Малфой расхохотался:    – Видели рожу этого мешка с картошкой?;"""You don't use your eyes, any of you, do you?"""
375;– Лонгботтома защищаем?;"""The floor?"""
376;– Что, Парвати, запала на жирного плаксу?;The dog was guarding something.... What had Hagrid said?
377;Малфой мерзко ухмыльнулся:    – Оставлю его где-нибудь, чтоб Лонгботтом сразу увидел… К примеру, скажем… на дереве?;"What did you say you've got at home, Malfoy, a Comet Two Sixty?"""
378;– Да ну?;"""Not arguing, I hope, boys?"""
379;– Что, Малфой, тут тебе никаких Краббе и Гойлов – кто ж тебя спасать будет?;"And what model is it?"""
380;Что скажут Дурслеи, увидев его на пороге?;"""Well, it's true,"" Harry chortled as they reached the top of the marble staircase, ""If he hadn't stolen Neville's Remembrall I wouln't be on the team....""  ""So I suppose you think that's a reward for breaking rules?"""
381;Может, Гарри согласятся оставитьпомощником Огрида?;"""I thought you weren't speaking to us?"""
382;У него скрутило живот от мысли, что Рон и остальные будут учиться на колдунов, а он – таскать сумки за Огридом…    Профессор Макгонаголл остановилась, приоткрыла дверь кабинета и сунула внутрь голову:    – Извините, профессор Флитвик, можно мне Древа?;"Follow me?"""
383;На минутку?;"""So -- that's sort of like basketball on broomsticks with six hoops, isn't it?"""
384;«Древа?» – в панике подумал Гарри.;"""What's basketball?"""
385;Это что – палка?;"So what are they for?"""
386;Его сейчас отлупят?;"""See?"""
387;Озадаченный Древ сразу возликовал:    – Серьезно, профессор?;"So -- think you've got all that?"""
388;Вы ведь впервые на метле, Поттер?;"""Er -- have the Bludgers ever killed anyone?"""
389;– Видел, как играют в квидиш, Поттер?;"""Well, that's it -- any questions?"""
390;– Ловчим?;"""So?"""
391;– Прощальный ужин, да, Поттер?;"""How could a troll get in?"""
392;Во сколько поезд в Мугляндию?;"""What about her?"""
393;Что, не слыхал про колдовские дуэли?;"""What's he doing?"""
394;– Я буду секундантом, а у тебя кто?;"""Why isn't he down in the dungeons with the rest of the teachers?"""
395;– В полночь годится?;"""Can you smell something?"""
396;– Колдовская дуэль – это что?;It was the last thing they wanted to do, but what choice did they have?
397;– И что значит «буду секундантом»?;"""Is it -- dead?"""
398;– А если я взмахну палочкой – и ничего?;"""What on earth were you thinking of?"""
399;– Нам вообще поесть спокойно дадут?;"Why aren't you in your dormitory?"""
400;– Что же мне теперь делать?;Hermione Granger, telling a downright lie to a teacher?
401;– Мне что, стоять и дожидаться, пока меня сцапает Филч?;"""Well -- in that case..."" said Professor McGonagall, staring at the three of them, ""Miss Granger, you foolish girl, how could you think of tackling a mountain troll on your own?"""
402;– Миссис Норрис?;"""What's that you've got there, Potter?"""
403;– Как рука?;"""Wonder what's wrong with his leg?"""
404;– Сам-то понимаешь?;"She would never let them copy (""How will you learn?"
405;Дрюзг захихикал:    – Гуляем по ночам, перьвокласськи?;Why should he be afraid of Snape?
406;– Для вашего же блага, понимаете?;Perhaps Snape had left the book in there?
407;– Куда они побежали, Дрюзг?;"""How are you supposed to keep your eyes on all three heads at once?"""
408;– Не дури, Дрюзг, –куда они пошли?;"""Did you get it?"""
409;–Ну что?;"""What's the matter?"""
410;– Где это вас носило?;"""You know what this means?"""
411;– Что они себе думают – держат в школе такое страшилище?;But what's he after?
412;– Вы что, все слепые, да?;"What's that dog guarding?"""
413;– Не видели, на чем она стояла?;"No sign of the Snitch yet, eh?"""
414;– На полу?;"""All right there, Harry?"""
415;Укладываясь в постель, он размышлял: пес что-то охраняет… Как там говорил Огрид?;"""Slytherin in possession,"" Lee Jordan was saying, ""Chaser Pucey ducks two Bludgers, two Weasleys, and Chaser Bell, and speeds toward the -- wait a moment -- was that the Snitch?"""
416;Что, ты говорил, у тебя дома?;"""What are you talking about, Dean?"""
417;«Комета-260»?;"""Did something happen to it when Flint blocked him?"""
418;– Небось вы с братьями метлы по хворостинке в лесу собираете?;"""What are you doing?"""
419;– Надеюсь, вы не ссоритесь, детки?;"""What should we do?"""
420;И какая же марка?;"""Why would Snape do somethin' like that?"""
421;– Если б он не стащил у Невилла Вспомнивсёль, меня бы не приняли в команду…    – И ты считаешь, это награда за нарушение правил?;"""How do you know about Fluffy?"""
422;Пока все ясно?;"""Fluffy?"""
423;– То есть это вроде баскетбола на метлах и с шестью кольцами?;"""Yeah -- he's mine -- bought him off a Greek chappie I met in the pub las' year -- I lent him to Dumbledore to guard the  ""Yes?"""
424;– А что это – баскетбол?;"""So why did he just try and kill Harry?"""
425;А эти для чего?;"said Harry, ""so there's someone called Nicolas Flamel involved, is there?"""
426;– Видишь?;"""Hi, Hagrid, want any help?"""
427;Ну что, все понятно?;"""Would you mind moving out of the way?"""
428;– А… Нападалы хоть раз кого-нибудь убивали?;"""Are you trying to earn some extra money, Weasley?"
429;Вопросы есть?;"""Ah, Hagrid, the last tree -- put it in the far corner, would you?"""
430;– Не забудьте, запястье поворачиваем изящно, помните, мы репетировали?;"""How many days you got left until yer holidays?"""
431;– Взмахнуть и стегнуть, запомнили?;"""The library?"""
432;– Ну и что?;"""Just before the holidays?"
433;– Как тролль пробрался в школу?;"Bit keen, aren't yeh?"""
434;– Откуда я знаю?;"""You what?"""
435;Может, Дрюзг впустил ради праздничка?;"""Unless you'd like to tell us and save us the trouble?"""
436;– Что Гермиона?;They had indeed been searching books for Flamel's name ever since Hagrid had let it slip, because how else were they going to find out what Snape was trying to steal?
437;– Что он тут делает?;"""What are you looking for, boy?"""
438;– Почему не в подземелье с учителями?;"""You will keep looking while I'm away, won't you?"""
439;– Он идет на третий этаж, – сказал Гарри, но тут Рон поднял руку:    – Чуешь?;"""Don't send me there, can't you see his knight?"
440;Меньше всего на свете им хотелось возвращаться, но что поделаешь?;"""Will you look at this?"
441;Гермиона заговорила первой:    – Он что – сдох?;"""What did you expect, turnips?"""
442;– Вы что себе думали, а?;"This is money?"""
443;Почему вы не в спальнях?;"""Hagrid and my aunt and uncle -- so who sent these?"""
444;Чтобы Гермиона Грейнджер так откровенно врала учителю?;"""What is it?"""
445;– Мисс Грейнджер, глупая вы девчонка, как же вам в голову пришло в одиночку сражаться с горным троллем?;"What's the matter?"""
446;Гермиона, кто никогда не нарушает правила, делает вид, будто их нарушила, – и все ради их спасения?;Who had sent the cloak?
447;– В смысле – пяти?;Had it really once belonged to his father?
448;– Что это у вас там, Поттер?;"""Why aren't you wearing yours, Ron?"""
449;– Интересно, что у него с ногой?;Should Harry wake him?
450;Она никогда не давала списывать («Как же вы научитесь?»), но они нашли к ней подход: просили проверить и все равно узнавали правильные ответы.;"""Who's there?"""
451;Вот бы вернуть «Квидиш сквозь века», отвлечься от мыслей о завтрашнем матче… А вообще, с чего ему бояться Злея?;Where should he go?
452;Может, Злей оставил книгу там?;"Wherever he was, Filch must know a shortcut, because his soft, greasy voice was getting nearer, and to his horror, it was Snape who replied, ""The Restricted Section?"
453;– Как, скажите на милость, уследить за тремя головами одновременно?;Or were they all invisible, too?
454;– Ну как, получилось?;Was he in fact in a room full of invisible people and this mirror's trick was that it reflected them, invisible or not?
455;– Что с тобой?;"""Mom?"""
456;– Понимаете?;"""Dad?"""
457;Но что ему нужно?;"Have some bacon or something, why aren't you eating anything?"""
458;Что же такое охраняет наша собачка?;Who cared what the three headed dog was guarding?
459;– Да с народом-то оно веселей, верно?;What did it matter if Snape stole it, really?
460;Проныра покамест не объявлялся?;"""Are you all right?"""
461;– Охотник Пусей, нырнув, уходит сразу от обоих Нападал, обоих Уизли и Охотницы Белл и летит к… Так, секундочку… Это что, Проныра?;"""See?"""
462;– О чем ты?;"""Can you see all your family standing around you?"""
463;Но ведь «Нимбус-2000» – не какой-то необъезженный скакун?;"""What?"""
464;– Что это Гарри затеял?;"""Do you think this mirror shows the future?"""
465;– Может, Флинт с ней что-нибудь сделал, когда его блокировал?;"""How can it?"
466;– Что ты делаешь?;"""You're only holding the Quidditch cup, what's interesting about that?"
467;– Что делать-то?!;Ron and Harry stood quite still, both thinking the same thing -- did the cloak work on cats?
468;– С чего бы Злею этак чудить?;"""Want to play chess, Harry?"""
469;– Как вы узнали про Пушка?;"""Why don't we go down and visit Hagrid?"""
470;– Пушка?;"""Why not?"""
471;– Ну да… Это мой пес… Прикупил у одного грека, в пабе познакомились в том году… А сейчас одолжил Думбльдору сторожить…    – Что сторожить?;So what if they can't see you?
472;– Значит, тут еще какой-то Николя Фламель замешан?;What if they walk into you?
473;Помочь?;"What if you knock something over?"""
474;– А нельзя ли слегка подвинуться?;"Except --  ""So -- back again, Harry?"""
475;– Что, Уизли, решил подзаработать?;"""But I expect you've realized by now what it does?"""
476;Собираешься после школы в дворники?;"""How did you know --?"""
477;Ну же, проходите, что встали?;"""Now, can you think what the Mirror of Erised shows us all?"""
478;Последняя елочка – в дальний угол поставь, хорошо?;"Does that help?"""
479;– Сколько у вас деньков-то до каникул?;"Now, why don't you put that admirable cloak back on and get off to bed?"""
480;– В библиотеку?;"""Sir -- Professor Dumbledore?"
481;– Перед каникулами?;"Can I ask you something?"""
482;– Чего?– Огрид обомлел.;"""What do you see when you look in the mirror?"""
483;С того дня, когда Огрид неосторожно помянул Николя Фламеля, они и правда перерыли кучу книг – ну а как еще выяснить, за чем охотится Злей?;"""I?"
484;– Что потеряли, юноша?;"""Snape's refereeing?"""
485;– Вы ведь и без меня будете искать, правда?;"""When's he ever refereed a Quidditch match?"
486;– А ты, может, спросишь про Фламеля у родителей?;"""What's the matter with you?"
487;– Ведь не страшно, если ты у них спросишь?;"""What happened?"""
488;Они си-дели там часами, ели все, что можно было поджарить на длинной вилке – хлеб, пышки, зефир, – и строили козни против Малфоя: как бысделать так, чтобы его исключили?;"""The Sorting Hat chose you for Gryffindor, didn't it?"
489;– А ты чего ждал, репку?;And where's Malfoy?
490;И этоденьги?!;"I think I'll go to bed.... D'you want the card, you collect them, don't you?"""
491;– От Огрида, от дяди с тетей – аэтоот кого?;"""Light?"""
492;– А что это?;"""Are we allowed to speak yet?"""
493;–Что угодно… Да что с тобой?;"""The what?"""
494;Кто прислал плащ?;"""Oh, honestly, don't you two read?"
495;Он правда когда-то принадлежал отцу?;"""See?"""
496;– А ты свой почему не надеваешь, Рон?;"""He's not exactly recent if he's six hundred and sixty-five, is he?"""
497;– Что за шум?;The idea of overtaking Slytherin in the house championship was wonderful, no one had done it for seven years, but would they be allowed to, with such a biased referee?
498;Разбудить его?;Could Snape possibly know they'd found out about the Sorcerer's Stone?
499;– Кто тут?;"""Dumbledore?"""
500;Куда же пойти?;"""Wonder how long Potter's going to stay on his broom this time?"
501;Гарри осторожно поставил лампу на пол и оглядел нижнюю полку: нет ли тут книги с интересным корешком?;Anyone want a bet?
502;Гарри знал, что рыцарские доспехи есть где-то возле кухни, но он вроде бы пятью этажами выше?;"What about you, Weasley?"""
503;Где бы он ни был, Филч, похоже, знал потайной ход сюда: его вкрадчивый, липкий голос слышался все явственней – и, к ужасу Гарри, ответил Филчу не кто иной, как Злей:    – Закрытый отдел?;"""You know how I think they choose people for the Gryffindor team?"""
504;Заброшенная классная комната?;"said Hermione suddenly, ""Harry --""  ""What?"
505;Или они тоже все невидимки?;"Where?"""
506;Что, в комнате полно невидимых людей, а зеркало все равно их отражает?;Where are you?
507;– Мама?;Snape, sneaking into the forest while everyone else was at dinner -- what was going on?
508;– Папа?;"""Have you found out how to get past that beast of Hagrid's yet?"""
509;И вдруг это зеркало показывает только умерших?;"""Harry, where have you been?"""
510;Съешь хоть бекона, что ты совсем ничего не ешь?;"He asked if he knew how to get past Fluffy - and he said something about Quirrell's 'hocus pocuss-- I reckon there are other things guarding the stone apart from Fluffy, loads of enchantments, probably, and Quirrell would have done some anti-Dark Arts spell that Snape needs to break through --""  ""So you mean the Stone's only safe as long as Quirrell stands up to Snape?"""
511;Кому до него есть дело?;"""What am I studying for?"
512;Какая разница, чтó охраняет трехголовая псина?;Are you crazy?
513;И даже если Злей это украдет, что изменится?;You realize we need to pass these exams to get into the second year?
514;– Что с тобой?;"What are you doing in the library?"""
515;– Может, ну его, пойдем назад?;"""An' what're you lot up ter?"""
516;– Видишь?;"""Yer not still lookin' fer Nicolas Flamel, are yeh?"""
517;– Ты тоже видишь всю свою семью?;"""Don' go shoutin' about it, what's the matter with yeh?"""
518;– Что?;"""What was he hiding behind his back?"""
519;Рон с трудом оторвался от восхитительного зрелища и глянул на Гарри с восторгом:    – Как по-твоему, это зеркало показывает будущее?;"""Do you think it had anything to do with the Stone?"""
520;– С чего бы?;"""But there aren't wild dragons in Britain?"""
521;– Ты же просто держишь кубок, что тут интересного?;"""So what on earths Hagrid up to?"""
522;Рон и Гарри стояли не дыша и думали об одном: действует ли плащ на кошек?;"Hagrid called ""Who is it?"""
523;– Поиграем в шахматы?;"""So -- yeh wanted to ask me somethin'?"""
524;– Может, сходим в гости к Огриду?;It Was almost stolen outta Gringotts - I s'ppose yeh've worked that out an' all?
525;– Почему?;"""Snape?"""
526;Ну, они тебя не видят… и что с того?;"""Yeah -- yer not still on abou' that, are yeh?"
527;А если они на тебя наткнутся?;"aren't you, Hagrid?"""
528;А если ты сам что-нибудь опрокинешь по дороге?;"""And you wouldn't tell anyone, would you?"
529;Гарри сел перед зеркалом на пол. Почему ему не провести эту ночь вместе с семьей?;"Not even one of the teachers?"""
530;Что может ему помешать?;"""Hagrid, can we have a window open?"
531;Кроме…    – Итак – ты опять вернулся, Гарри?;"""Hagrid -- what's that?"""
532;– Но, я полагаю, ты уже понял, что оно делает?;"""Ah,"" said Hagrid, fiddling nervously with his beard, ""That's er...""  ""Where did you get it, Hagrid?"""
533;– Ну, так ты догадался, что показывает нам Зеркало Джедан?;"""But what are you going to do with it when it's hatched?"""
534;Понимаешь?;"""Hermione, how many times in our lives are we going to see a dragon hatching?"""
535;– Сэр… Профессор Думбльдор?;How much had he heard?
536;Можно вас спросить?;"""Isn't he beautiful?"""
537;– А что видите в зеркале вы?;"""Hagrid,"" said Hermione, ""how fast do Norwegian Ridgebacks grow, exactly?"""
538;– Я?;"""What's the matter?"""
539;Она смотрела на вещи иначе – и то ужасалась при мысли, что Гарри целых три ночи подряд шатался по коридорам замка («А если бы Филч тебя поймал?»), то сокрушалась, что он так и не выяснил, кто такой Николя Фламель.;"Where's Mommy?"""
540;Разозлившись на двойняшек Уизли за то, что они затеяли пикировать друг на друга и притворяться, что от удара слетают с метлы, Древ не выдержал:    – Да прекратите вы когда-нибудь дурака валять?;"""I'm Ron, remember?"""
541;– Злей – судья?!;"""How about it, Hagrid?"""
542;– С каких это пор он судит квидишные матчи?;Dear Ron,  How are you?
543;– А я что тут сделаю?;Could you get the Ridgeback up the tallest tower at midnight on Saturday?
544;– Что случилось?;He didn't know whether it was safe to go to Madam Pomfrey -- would she recognize a dragon bite?
545;– Что случилось?;No more dragon -- Malfoy in detention -- what could spoil their happiness?
546;– Шляпа-Распредельница назначила тебя в «Гриффиндор», правда?;How could they have been so stupid as to forget the cloak?
547;А Малфой где?;Had Harry thought that things couldn't have been worse?
548;– Спасибо, Гарри… Я, наверное, пойду спать… Карточка нужна?;"I suppose you think it's funny that Longbottom here heard the story and believed it, too?"""
549;Ты же их собираешь?;"""Fifty?"""
550;– Легкое?– переспросил Рон, но Гермиона цыкнула на него, чтобы сидел тихо, пока она чего-то там не найдет, и, бормоча, принялась со страшной скоростью листать страницы.;How could they ever make up for this?
551;– Уже можно разговаривать?;What would happen when the rest of Gryffindor found out what they'd done?
552;– Чего?;How could they suddenly have a hundred and fifty points fewer than yesterday?
553;– Ну,честное слово– вы что, ничего не читаете?;"""They've never lost a hundred and fifty points in one go, though, have they?"""
554;– Теперь ясно?;"""Resign?"""
555;Конечно, победить «Слизерин» в чемпионате школы было бы чудесно, это уже семь лет никому не удавалось, да только получится ли с таким предвзятым судьей?;"""What good'll that do?"
556;Преследует, надеясь застать одного?;"How are we going to get any points back if we can't win at Quidditch?"""
557;Может, догадался, что они узнали про философский камень?;"So what do we do, Harry?"""
558;– Думбльдор?;Snape's only got to say he doesn't know how the troll got in at Halloween and that he was nowhere near the third floor -- who do you think they'll believe, him or us?
559;– Интересно, сколько Поттер на этот раз продержится на метле?;"I bet you'll think twice about breaking a school rule again, won't you, eh?"""
560;Поспорим?;"""Is that you, Filch?"
561;А ты, Уизли, хочешь пари?;"His relief must have showed in his -face, because Filch said, ""I suppose you think you'll be enjoying yourself with that oaf?"
562;– Знаете, по какому принципу, на мой взгляд, отбирают игроков в команду «Гриффиндора»?;"""The forest?"""
563;– Что?;"""That's your problem, isn't it?"""
564;Где?;"""Should've thought of them werewolves before you got in trouble, shouldn't you?"""
565;Ты где?;"All right, Harry, Hermione?"""
566;Злей тайком идет в Запретный лес, пока остальные сидят за ужином… С чего бы это?;"""That's why yer late, is it?"""
567;Злей его прервал:    – Вы уже выяснили, как пройти мимо чудища Огрида?;"""Bin lecturin' them, eh?"
568;– Гарри, где же тыбыл?– вскричала Гермиона.;What good's that ter anyone?
569;Злей спросил, знает ли Страунс, как пройти мимо Пушка, а еще говорил про какой-то «ваш фокус-покус»: значит, видимо, камень охраняет не только собака, еще что-то… Заклинание, и вряд ли одно, да еще Страунс наверняка наложил какое-нибудь заклятие от сил зла, сквозь которое Злею самому не прорваться…    – То есть хочешь сказать, камень в безопасности, только пока Страунс не расколется?;"""Look there,"" said Hagrid, ""see that stuff shinin' on the ground?"
570;Всякий раз, проходя по коридору третьего этажа, Рон, Гарри и Гермиона прикладывались к двери: по-прежнему ли там ворчит Пушок?;Silvery stuff?
571;– Зачем?;"""And what if whatever hurt the unicorn finds us first?"""
572;Ты в своем уме?;Now, if any of us finds the unicorn, we'll send up green sparks, right?
573;А ты что делаешь в библиотеке?;"""Could a werewolf be killing the unicorns?"""
574;– А вам что занадобилось?;"""You all right, Hermione?"""
575;– И вдруг спросил подозрительно: – Вы ведь не по Фламелеву душу, нет?;"""A werewolf?"""
576;– Чего орешь, сдурел?;"""Who's there?"""
577;– Например, кто или что, кроме Пушка, охраняет камень?;And into the clearing came -- was it a man, or a horse?
578;– А что это он там прятал?;"""How are yeh?"""
579;– Думаешь, что-нибудь про камень?;"""Were you going to shoot me?"""
580;Как колдунам скрываться от муглов, если они будут держать у себя во дворе драконов?;"""Students, are you?"
581;– Но вБританииведь нет диких драконов?;"And do you learn much, up at the school?"""
582;– Что же такое задумал Огрид?;"""Listen, I'm glad we've run inter yeh, Ronan, 'cause there's a unicorn bin hurt -- you seen anythin'?"""
583;Огрид сначала крикнул:    – Кто там?;"""Yeah,"" said Hagrid, ""but have yeh seen anythin', Ronan?"
584;– Ну, чего спросить-то хотели?;"Anythin' unusual?"""
585;И Гарри спросил:    – Можешь сказать, кто или что, кроме Пушка, охраняет философский камень?;"""So yeh haven't noticed anythin' strange?"""
586;– Кому, кроме тебя, доверяет Думбльдор?;"""All right?"""
587;– Злей?;"""Good evening, Hagrid, I hope you are well?"""
588;Вы опять снова-здорово?;Look, I've jus' bin askin' Ronan, you seen anythin' odd in here lately?
589;Слушьте, Злейзащищалкамень, на кой ему этот камень тибрить?;"There's a unicorn bin injured -- would yeh know anythin' about it?"""
590;– Ты ведь один знаешь, как пройти мимо Пушка, Огрид?;"""Well, if either of you do see anythin', let me know, won't yeh?"
591;– И никому не скажешь, да?;"""Are there many of them in here?"""
592;Даже учителям?;"""D'you think that was a centaur we heard earlier?"""
593;– Огрид, можно открыть окно?;"""Did that sound like hooves to you?"
594;– Огрид!Что это?;"""You don't think they've been hurt, do you?"""
595;– Это… Э-э-э…    – Где ты его взял, Огрид?;What was going on?
596;– Что ты с ним будешь делать, когда он вылупится?;Where were the others?
597;И что яйцо надо держать в огне – потому что мамки на них дышат, понимаете?;"""Are you all right?"""
598;– Интересно, какая она бывает, спокойная жизнь?;"""Yes -- thank you -- what was that?"""
599;– Гермиона, ну сколько еще раз в жизни нам доведется наблюдать, как вылупляется дракон?;Can you ride?
600;Что он успел услышать?;"""What are you doing?"
601;– Ну некрасавец?– мурлыкнул Огрид.;Have you no shame?
602;– Огрид, – спросила Гермиона, – а быстро они растут, норвежские зубцеспины?;"Are you a common mule?"""
603;– Что такое?;"""Do you realize who this is?"""
604;Где мамочка?;"""What have you been telling him?"""
605;А?;"Have we not read what is to come in the movements of the planets?"""
606;Где мамочка?;What is that to do with us?
607;– Я – Рон, помнишь меня?;"""Do you not see that unicorn?"""
608;– Как тебе, Огрид?;"""Do you not understand why it was killed?"
609;Как поживаешь?;Or have the planets not let you in on that secret?
610;Не могли бы вы принести зубцеспина на самую высокую башню в субботу в полночь?;"""Why's Bane so angry?"""
611;Рон опасался идти к мадам Помфри: вдруг та узнает укус дракона?;"""What was that thing you saved me from, anyway?"""
612;Несмышленыш еще, понимаете?;"""Harry Potter, do you know what unicorn blood is used -for?"""
613;Гарри с Гермионой тихонько спустились по винтовой лестнице, чувствуя легкость в руках и в сердцах: Норберта нет, Малфой наказан – чем можно омрачить такое счастье?;"""But who'd be that desperate?"""
614;Как онимоглитак сглупить – забыли плащ-невидимку?;"""If you're going to be cursed forever, deaths better, isn't it?"""
615;Хуже и быть не могло?;"Mr. Potter, do you know what is hidden in the school at this very moment?"""
616;Надо полагать, вам очень забавно, что Лонгботтом тоже поверил в ваши россказни?;"But I don't understand who --""  ""Can you think of nobody who has waited many years to return to power, who has clung to life, awaiting their chance?"""
617;– Пятьдесят?– задохнулся Гарри.;"Harry, are you all right?"""
618;Как такое компенсируешь?;Anyway, who says the centaurs are right?
619;Что будет, когда станет известно об их подвигах?;"""Where're you going?"""
620;Куда могли за ночь подеваться целых сто пятьдесят?;"""Why?"""
621;– Но ведь не по сто пятьдесят баллов разом, правда?;"""Don't you think it's a bit odd,"" said Harry, scrambling up the grassy slope, ""that what Hagrid wants more than anything else is a dragon, and a stranger turns up who just happens to have an egg in his pocket?"
622;– Уйдешь?– рявкнул Древ.;How many people wander around with dragon eggs if it's against wizard law?
623;– И толку?;Lucky they found Hagrid, don't you think?
624;Как мы наберем обратно баллы, если еще и в квидиш перестанем выигрывать?;"Why didn't I see it before?"""
625;Что будем делать, Гарри?;"""What are you talking about?"""
626;Злей скажет, что понятия не имеет, как тролль проник в школу на Хэллоуин, а он сам даже близко не подходил к третьему этажу… И кому, по-вашему, поверят, ему или нам?;"""Finished yer exams?"
627;Издали окликнули:    – Филч, ты?;"Got time fer a drink?"""
628;Вероятно, лицо его выдало, поскольку Филч процедил:    – Ты, видать, рассчитываешь профилонить пару часов с этим олухом?;You know that night you won Norbert?
629;– В лес?;"What did the stranger you were playing cards with look like?"""
630;Гарри, Гермиона, вы как?;Mighta bin a dragon dealer, mightn' he?
631;Порядочек?;"""What did you talk to him about, Hagrid?"
632;– Вы поэтому опоздали, да?;"Did you mention Hogwarts at all?"""
633;– Мораль им читал?;"So I told him, after Fluffy, a dragon would be easy...""  ""And did he -- did he seem interested in Fluffy?"""
