ID;Russian;English
297;«А что, если Шляпа решит, что я не подхожу ни для одного из факультетов?» — подумал он.;"""That does look good,"" said the ghost in the ruff sadly, watching Harry cut up his steak,  ""Can't you --?"""
298;— Она сказала Поттер?;I don't think I've in troduced myself?
299;— Тот самый Гарри Поттер?;"""Nearly Headless?"
300;И таланта хватает — о да, мой бог, это так, — и имеется весьма похвальное желание проявить себя, это тоже любопытно… Так куда мне тебя определить?;"How can you be nearly headless?"""
301;— Ага, значит, не в Слизерин?;I hope you're going to help us win the house championship this year?
302;— Ты уверен?;"""How did he get covered in blood?"""
303;Знаешь ли, ты можешь стать великим, у тебя есть все задатки, я это вижу, а Слизерин поможет тебе достичь величия, это несомненно… Так что — не хочешь?;"""What about you, Neville?"""
304;— Он… он немного ненормальный?;"""What is it?"""
305;— Ненормальный?;"""Who's that teacher talking to Professor Quirrell?"""
306;Как насчет жареной картошки, Гарри?;"""Oh, you know Quirrell already, do you?"
307;— Почти безголовый?;"""He's not serious?"""
308;Как можно быть почти безголовым?;"""Do you want me to go to the Bloody Baron?"""
309;Надеюсь, вы поможете нам выиграть в этом году соревнование между факультетами?;"""Password?"""
310;— А как получилось, что он весь в крови?;"Great food, isn't it?"""
311;— А ты, Невилл?;"""Where?"""
312;— Что случилось?;"""Wearing the glasses?"""
313;— А кто это там разговаривает с профессором Квирреллом?;"""Did you see his face?"""
314;— А, ты уже знаешь Квиррелла?;"""Did you see his scar?"""
315;— Он ведь шутит?;"""What have we got today?"""
316;— Ты хочешь, чтобы я пошел к Кровавому Барону и рассказал ему, что здесь происходит?;It said, in a very untidy scrawl:   Dear Harry,  I know you get Friday afternoons off, so would you like to come and have a cup of tea with me around three?
317;— Пароль?;"""What would I get if I added powdered root of asphodel to an infusion of wormwood?"""
318;— Классно поели, правда?;Powdered root of what to an infusion of what?
319;— Где?;"Potter, where would you look if I told you to find me a bezoar?"""
320;— Это который в очках?;"""Thought you wouldn't open a book before coming, eh, Potter?"""
321;— Ты видел его лицо?;He had looked through his books at the Dursleys', but did Snape expect him to remember everything in One Thousand Magical Herbs and Fungi?
322;— Ты видел его шрам?;"""What is the difference, Potter, between monkshood and wolfsbane?"""
323;— Что у нас там сегодня?;"""I think Hermione does, though, why don't you try her?"""
324;— Что получится, если я смешаю измельченный корень асфоделя с настойкой полыни?;Well?
325;«Измельченный корень чего с настойкой чего?» — хотел переспросить Гарри, но не решился.;"Why aren't you all copying that down?"""
326;— Если я попрошу вас принести мне безоаровый камень, где вы будете его искать?;"""I suppose you added the porcupine quills before taking the cauldron off the fire?"""
327;— Похоже, вам и в голову не пришло почитать учебники, прежде чем приехать в школу, так, Поттер?;"""You -- Potter -- why didn't you tell him not to add the quills?"
328;По правде, он читал свои новые учебники, пока жил у Дурслей, но неужели Снегг рассчитывал на то, что он наизусть выучит «Тысячу волшебных растений и грибов»?;Thought he'd make you look good if he got it wrong, did you?
329;— Хорошо, Поттер, а в чем разница между волчьей отравой и клобуком монаха?;He'd lost two points for Gryffindor in his very first week -- why did Snape hate him so much?
330;— Но мне кажется, что Гермиона это точно знает, почему бы вам не спросить ее?;"Can I come and meet Hagrid with you?"""
331;Поняли?;"""Another Weasley, eh?"""
332;— Как я понимаю, прежде чем снять котел с огня, вы добавили в зелье иглы дикобраза?;D'yeh know, every time I go up ter the school, she follows me everywhere?
333;— Вы, Поттер, почему вы не сказали ему, что нельзя добавлять в зелье иглы дикобраза?;"""Why should he?"""
334;Или вы подумали, что если он ошибется, то вы будете выглядеть лучше его?;"""How's yer brother Charlie?"""
335;Знаешь, сколько штрафов они у него получили?;Had that been what the thieves were looking for?
336;Слушай, а можно, я пойду с тобой к Хагриду?;Had Hagrid collected that package just in time?
337;— Еще один Уизли, а?;Where was it now?
338;— С чего бы это ему?;And did Hagrid know something about Snape that he didn't want to tell Harry?
339;— А как твой брат Чарли?;"""What's going on?"""
340;Не это ли искали воры?;"""Well, what are you all waiting for?"""
341;Если Гарри был прав, то Хагрид забрал из сейфа сверток как раз вовремя, но случайно или нет?;"""Did you see his face, the great lump?"""
342;И где этот сверток хранится теперь?;"""Ooh, sticking up for Longbottom?"""
343;Ведь чтобы его не выкрали, требуется гораздо более надежное место, чем «Гринготтс»?;"""I think I'll leave it somewhere for Longbottom to find -- how about -- up a tree?"""
344;Но теперь…  — Откуда ты знаешь, кто будет выглядеть дураком?;"""Oh, yeah?"""
345;— Что происходит?;What would the Dursleys say when he turned up on the doorstep?
346;— Ну и чего вы ждете?!;"""Excuse me, Professor Flitwick, could I borrow Wood for a moment?"""
347;— Вы видели его физиономию?;Wood?
348;— О-о-о, ты заступаешься за этого придурка Долгопупса?;"thought Harry, bewildered; was Wood a cane she was going to use on him?"
349;— Да ну?;"""Are you serious, Professor?"""
350;— Что, Малфой, заскучал?;"Was that your first time on a broomstick, Potter?"""
351;И что, интересно, скажут Дурсли, когда увидят его на пороге своего дома?;"""Ever seen a game of Quidditch, Potter?"""
352;Наверное, профессор МакГонагалл вела его к Дамблдору — куда же еще?;"""Seeker?"""
353;Может, ему тоже разрешат остаться, может, его назначат помощником Хагрида?;"""Having a last meal, Potter?"
354;— Извините, профессор Флитвик, могу я попросить вас кое о чем?;"When are you getting the train back to the Muggles?"""
355;«Вуд?;What's the matter?
356;— Это еще что такое?»  Вуд оказался человеком.;"Never heard of a wizard's duel before, I suppose?"""
357;— Вы это серьезно, профессор?;"""I'm his second, who's yours?"""
358;Вы в первый раз сели на метлу, Поттер?;"""Midnight all right?"
359;— Когда-нибудь видел, как играют в квиддич, а, Поттер?;"""What is a wizard's duel?"""
360;— Ловец?;"""And what do you mean, you're my second?"""
361;— Последний школьный обед, Поттер?;"""And what if I wave my wand and nothing happens?"""
362;— Уезжаешь обратно к маглам?;"""Can't a person eat in peace in this place?"""
363;Во сколько у тебя поезд?;"""Now what am I going to do?"""
364;Что с тобой, Поттер?;"""D'you think I'm going to stand out here and wait for Filch to catch me?"
365;— Я буду его секундантом, а кого возьмешь ты?;"Norris?"""
366;— Полночь вас устраивает?;"""How's your arm?"""
367;— Что это за дуэль?;"""You realize that, don't you?"
368;— И что это значит: ты будешь моим секундантом?;"""Wandering around at midnight, Ickle Firsties?"
369;— А если я взмахну палочкой и ничего не произойдет?;"""Which way did they go, Peeves?"""
370;— Можно здесь поесть спокойно?;"""Don't mess with me, Peeves, now where did they go?"""
371;— Ты?;"""What?"""
372;— И что же мне теперь делать?;"""Where on earth have you all been?"""
373;— Вы думаете, я буду тут стоять и ждать, пока меня не схватит Филч?;"""What do they think they're doing, keeping a thing like that locked up in a school?"""
374;— Как твоя рука?;"""You don't use your eyes, any of you, do you?"""
375;— Он опаздывает — может, струсил?;"""The floor?"""
376;— Надеюсь, ты это уже понял?;The dog was guarding something.... What had Hagrid said?
377;— Шатаетесь по ночам, маленькие первокурснички?;"What did you say you've got at home, Malfoy, a Comet Two Sixty?"""
378;— Куда они побежали, Пивз?;"""Not arguing, I hope, boys?"""
379;Итак, куда они побежали?;"And what model is it?"""
380;— Ну что тебе?;"""Well, it's true,"" Harry chortled as they reached the top of the marble staircase, ""If he hadn't stolen Neville's Remembrall I wouln't be on the team....""  ""So I suppose you think that's a reward for breaking rules?"""
381;— Где вы были?;"""I thought you weren't speaking to us?"""
382;— Что они себе, интересно, думают?;"Follow me?"""
383;— А зачем вам глаза, хотела бы я знать?;"""So -- that's sort of like basketball on broomsticks with six hoops, isn't it?"""
384;— Вы что, не видели, на чем этот пес стоял?;"""What's basketball?"""
385;А что ты там говорил, Малфой, насчет той метлы, которую оставил дома?;"So what are they for?"""
386;Кажется, это «Комета-260»?;"""See?"""
387;— Да что ты понимаешь в метлах, Уизли?;"So -- think you've got all that?"""
388;— Надеюсь, вы тут не ссоритесь, мальчики?;"""Er -- have the Bludgers ever killed anyone?"""
389;А что это за модель?;"""Well, that's it -- any questions?"""
390;— Если бы Малфой не схватил напоминалку Невилла, то я не вошел бы в команду…  — Значит, ты полагаешь, что это награда за то, что ты нарушил школьные правила?;"""So?"""
391;Понял?;"""How could a troll get in?"""
392;— Значит, квиддич — это нечто вроде баскетбола на метлах и с шестью кольцами?;"""What about her?"""
393;— А что такое баскетбол?;"""What's he doing?"""
394;А эти зачем?;"""Why isn't he down in the dungeons with the rest of the teachers?"""
395;— Видишь?;"""Can you smell something?"""
396;Таким образом… Ты точно все запомнил?;It was the last thing they wanted to do, but what choice did they have?
397;— А бладжеры еще никого не убили?;"""Is it -- dead?"""
398;Ну, есть вопросы?;"""What on earth were you thinking of?"""
399;— Ну и что?;"Why aren't you in your dormitory?"""
400;— Как мог тролль пробраться в замок?;Hermione Granger, telling a downright lie to a teacher?
401;— Не спрашивай меня, откуда я знаю?;"""Well -- in that case..."" said Professor McGonagall, staring at the three of them, ""Miss Granger, you foolish girl, how could you think of tackling a mountain troll on your own?"""
402;Может, его впустил Пивз, решил так пошутить перед Хэллоуином?;"""What's that you've got there, Potter?"""
403;— А что Гермиона?;"""Wonder what's wrong with his leg?"""
404;— Что это он тут делает?;"She would never let them copy (""How will you learn?"
405;— Почему он не в подвалах вместе с другими учителями?;Why should he be afraid of Snape?
406;— Думаешь, я знаю?;Perhaps Snape had left the book in there?
407;— Чувствуешь запах?;"""How are you supposed to keep your eyes on all three heads at once?"""
408;Меньше всего на свете им хотелось совершить то, что им предстояло, но разве у них был выбор?;"""Did you get it?"""
409;— Он… он мертв?;"""What's the matter?"""
410;— О чем, позвольте вас спросить, вы думали?;"""You know what this means?"""
411;Почему вы не в спальне?;But what's he after?
412;Кто бы мог поверить, что Гермиона Грэйнджер — подумать только, Гермиона Грэйнджер — врет в лицо преподавателю?!;"What's that dog guarding?"""
413;— Мисс Грэйнджер, глупая вы девочка, как вам могло прийти в голову, что вы сами сможете усмирить горного тролля?!;"No sign of the Snitch yet, eh?"""
414;— Что это там у вас, Поттер?;"""All right there, Harry?"""
415;— Интересно, что у него с ногой?;"""Slytherin in possession,"" Lee Jordan was saying, ""Chaser Pucey ducks two Bludgers, two Weasleys, and Chaser Bell, and speeds toward the -- wait a moment -- was that the Snitch?"""
416;Она никогда не давала им списывать, — «Как же вы тогда чему-нибудь научись?» — но зато согласилась проверять их домашние работы, и таким образом они все равно узнавали от нее правильные ответы.;"""What are you talking about, Dean?"""
417;Гарри спросил себя, почему, собственно, он должен бояться профессора Снегга?;"""Did something happen to it when Flint blocked him?"""
418;— Хотел бы я знать, сможет ли кто-нибудь следить одновременно за всеми тремя головами и пастями и избежать того, чтобы одна из них его не цапнула?;"""What are you doing?"""
419;— Удалось?;"""What should we do?"""
420;— Эй, что с тобой?;"""Why would Snape do somethin' like that?"""
421;— Поняли, что все это значит?;"""How do you know about Fluffy?"""
422;Но за чем именно он охотится?;"""Fluffy?"""
423;Что охраняет этот пес?;"""Yeah -- he's mine -- bought him off a Greek chappie I met in the pub las' year -- I lent him to Dumbledore to guard the  ""Yes?"""
424;Снитч не появлялся еще, нет?;"""So why did he just try and kill Harry?"""
425;— Все нормально, Гарри?;"said Harry, ""so there's someone called Nicolas Flamel involved, is there?"""
426;— Охотник Пьюси уклоняется от бладжера, еще от одного, обводит близнецов Уизли и Кэти Белл и устремляется к… Стоп, не снитч ли это?;"""Hi, Hagrid, want any help?"""
427;Да, кстати, а что такое красная карточка?;"""Would you mind moving out of the way?"""
428;— Не пойму я, чего там Гарри творит?;"""Are you trying to earn some extra money, Weasley?"
429;Чего он себе думает, а?;"""Ah, Hagrid, the last tree -- put it in the far corner, would you?"""
430;— Может быть, с ней что-то случилось, когда в него врезался Флинт?;"""How many days you got left until yer holidays?"""
431;— Ты что делаешь?;"""The library?"""
432;— И что же нам делать?;"""Just before the holidays?"
433;— Зачем Снеггу делать такое?;"Bit keen, aren't yeh?"""
434;— А вы откуда про Пушка разузнали?;"""You what?"""
435;— Про Пушка?;"""Unless you'd like to tell us and save us the trouble?"""
436;— А потом я Пушка одолжил Дамблдору — чтоб охранять…  — Что?;They had indeed been searching books for Flamel's name ever since Hagrid had let it slip, because how else were they going to find out what Snape was trying to steal?
437;Самый секретный секрет, понятно вам?;"""What are you looking for, boy?"""
438;— А зачем же он тогда пытался убить Гарри?;"""You will keep looking while I'm away, won't you?"""
439;— Значит, тут замешан некто по имени Николас Фламель, верно?;"""Don't send me there, can't you see his knight?"
440;— Привет, Хагрид, помощь не нужна?;"""Will you look at this?"
441;— А ты, Уизли, как я понимаю, пытаешься немного подзаработать?;"""What did you expect, turnips?"""
442;Я полагаю, после окончания школы ты планируешь остаться здесь в качестве лесника?;"This is money?"""
443;— Отлично, Хагрид, это ведь последнее дерево?;"""Hagrid and my aunt and uncle -- so who sent these?"""
444;— Пожалуйста, поставьте его в дальний угол, хорошо?;"""What is it?"""
445;— Сколько там вам осталось до каникул-то?;"What's the matter?"""
446;— В библиотеку?;Who had sent the cloak?
447;— Перед каникулами?;Had it really once belonged to his father?
448;— Что?;"""Why aren't you wearing yours, Ron?"""
449;Может быть, ты хотя бы намекнешь, где нам о нем прочитать?;Should Harry wake him?
450;А как еще они могли узнать, что пытался украсть Снегг?;"""Who's there?"""
451;— Что ты здесь ищешь, мальчик?;Where should he go?
452;— Вы ведь будете продолжать искать, когда я уеду на каникулы?;"Wherever he was, Filch must know a shortcut, because his soft, greasy voice was getting nearer, and to his horror, it was Snape who replied, ""The Restricted Section?"
453;К тому же Гарри был не слишком хорошим игроком, и фигурки постоянно давали ему советы, сбивая его с толку:  «Не посылай меня туда, разве ты не видишь вражеского коня?;Or were they all invisible, too?
454;— И это деньги?;Was he in fact in a room full of invisible people and this mirror's trick was that it reflected them, invisible or not?
455;Такой формы?;"""Mom?"""
456;— Интересно, кто еще мог прислать мне подарок, кроме Дурслей и Хагрида?;"""Dad?"""
457;— А что это?;"Have some bacon or something, why aren't you eating anything?"""
458;Эй, да что с тобой?;Who cared what the three headed dog was guarding?
459;И все время спрашивал себя, неужели она на самом деле принадлежала его отцу?;What did it matter if Snape stole it, really?
460;— А ты почему не надел свой свитер, Рон?;"""Are you all right?"""
461;— Что тут за шум?;"""See?"""
462;О каком сне могла идти речь, когда его переполняло возбуждение?;"""Can you see all your family standing around you?"""
463;— Кто здесь?;"""What?"""
464;— Значит, в Особой секции?;"""Do you think this mirror shows the future?"""
465;Или, может, они тоже были невидимы?;"""How can it?"
466;Может, это была комната, населенная невидимками, а хитрость зеркала в том и состояла, что в нем отражались все, неважно, видимы они или нет?;"""You're only holding the Quidditch cup, what's interesting about that?"
467;— Мама?;Ron and Harry stood quite still, both thinking the same thing -- did the cloak work on cats?
468;— Папа?;"""Want to play chess, Harry?"""
469;Кстати, может, это зеркало показывает только тех, кто уже умер?;"""Why don't we go down and visit Hagrid?"""
470;Возьми бекон, чего это ты ничего не ешь?;"""Why not?"""
471;Какая разница, кто такой этот Фламель?;So what if they can't see you?
472;Зачем ему знать, что охраняет трехголовый пес?;What if they walk into you?
473;И какое ему дело до того, украдет Снегг то, что охраняет пес, или нет?;"What if you knock something over?"""
474;— Ты в порядке?;"Except --  ""So -- back again, Harry?"""
475;— Видишь?;"""But I expect you've realized by now what it does?"""
476;— Ты видишь вокруг себя родителей и братьев?;"""How did you know --?"""
477;— Что?;"""Now, can you think what the Mirror of Erised shows us all?"""
478;— Как ты думаешь, зеркало показывает будущее?;"Does that help?"""
479;При чем тут будущее?;"Now, why don't you put that admirable cloak back on and get off to bed?"""
480;— Подожди немного, я быстро…  — Ну на что тебе смотреть — ты ведь всего лишь держишь в руках Кубок школы по квиддичу, что тут интересного?;"""Sir -- Professor Dumbledore?"
481;Рон и Гарри замерли, стараясь не дышать и думая об одном и том же — распространяется ли действие мантии на кошек?;"Can I ask you something?"""
482;* * *   — Хочешь сыграть в шахматы?;"""What do you see when you look in the mirror?"""
483;— Тогда почему бы нам не выйти из замка и не навестить Хагрида?;"""I?"
484;— Почему?;"""Snape's refereeing?"""
485;Кроме…  — Итак, ты снова здесь, Гарри?;"""When's he ever refereed a Quidditch match?"
486;— Но я надеюсь, что ты уже знаешь, что показывает это зеркало?;"""What's the matter with you?"
487;— Откуда вы знаете?;"""What happened?"""
488;— Итак… что, на твой взгляд, показывает всем нам зеркало Еиналеж?;"""The Sorting Hat chose you for Gryffindor, didn't it?"
489;Ты меня понял?;And where's Malfoy?
490;Другие сходили с ума оттого, что не могли понять, сбудется ли то, что предсказало им зеркало, гарантировано им это будущее или оно просто возможно?;"I think I'll go to bed.... D'you want the card, you collect them, don't you?"""
491;А теперь, почему бы тебе не надеть эту восхитительную мантию и не вернуться в спальню?;"""Light?"""
492;— Могу я задать вам один вопрос?;"""Are we allowed to speak yet?"""
493;— Что вы видите, когда смотрите в зеркало?;"""The what?"""
494;— Я?;"""Oh, honestly, don't you two read?"
495;— Судить будет Снегг?;"""See?"""
496;— А что я могу поделать?;"""He's not exactly recent if he's six hundred and sixty-five, is he?"""
497;— Что с тобой?;The idea of overtaking Slytherin in the house championship was wonderful, no one had done it for seven years, but would they be allowed to, with such a biased referee?
498;— Что случилось?;Could Snape possibly know they'd found out about the Sorcerer's Stone?
499;Ну а где оказался этот Малфой?;"""Dumbledore?"""
500;— Наверно, я пойду посплю… Да, вот карточка — ты ведь их собираешь, верно?;"""Wonder how long Potter's going to stay on his broom this time?"
501;— Легкого?;Anyone want a bet?
502;— Нам уже можно говорить?;"What about you, Weasley?"""
503;— Создатель чего?;"""You know how I think they choose people for the Gryffindor team?"""
504;Вы что, книг не читаете?;"said Hermione suddenly, ""Harry --""  ""What?"
505;— Поняли?;"Where?"""
506;Иногда он даже спрашивал себя, не следит ли Снегг за ним, пытаясь подловить его на чем-нибудь или сделать ему что-нибудь плохое?;Where are you?
507;Может быть, он каким-то образом догадался, что они узнали о философском камне?;Snape, sneaking into the forest while everyone else was at dinner -- what was going on?
508;— Дамблдор?;"""Have you found out how to get past that beast of Hagrid's yet?"""
509;— Интересно, как долго Поттеру удастся удержаться на метле на этот раз?;"""Harry, where have you been?"""
510;— Кто-нибудь хочет поспорить?;"He asked if he knew how to get past Fluffy - and he said something about Quirrell's 'hocus pocuss-- I reckon there are other things guarding the stone apart from Fluffy, loads of enchantments, probably, and Quirrell would have done some anti-Dark Arts spell that Snape needs to break through --""  ""So you mean the Stone's only safe as long as Quirrell stands up to Snape?"""
511;Может, ты, Уизли?;"""What am I studying for?"
512;— Я стою десятка таких, как ты, понял?;Are you crazy?
513;Где ты?!;You realize we need to pass these exams to get into the second year?
514;— …Н-н-не знаю, п-почему вы ре-ре-решили в-встретиться именно здесь, С-С-Северус?;"What are you doing in the library?"""
515;— Вы уже узнали, как пройти мимо этого трехголового зверя, выращенного Хагридом?;"""An' what're you lot up ter?"""
516;* * *   — Гарри, ты где был?;"""Yer not still lookin' fer Nicolas Flamel, are yeh?"""
517;А Невилл в одиночку кинулся на Крэбба и Гойла, представляешь?!;"""Don' go shoutin' about it, what's the matter with yeh?"""
518;Возможно, Квиррелл наложил несколько своих заклятий против Темных сил, и Снеггу надо узнать, как развеять эти чары…  — То есть ты хочешь сказать, что камень будет в безопасности до тех пор, пока Квиррелл не сломается под напором Снегга?;"""What was he hiding behind his back?"""
519;— И зачем нам все повторять, тем более тебе, ведь ты и так все знаешь?;"""Do you think it had anything to do with the Stone?"""
520;— Зачем повторять?!;"""But there aren't wild dragons in Britain?"""
521;— Ты что, с ума сошел?;"""So what on earths Hagrid up to?"""
522;Ты понимаешь, что для того, чтобы перейти на второй курс, нам надо сдать экзамены?;"Hagrid called ""Who is it?"""
523;Что ты здесь делаешь?;"""So -- yeh wanted to ask me somethin'?"""
524;— А вы-то тут чего?;It Was almost stolen outta Gringotts - I s'ppose yeh've worked that out an' all?
525;Неужто все Николаса Фламеля ищете?;"""Snape?"""
526;— Ты чего… чего об этом кричишь, что с тобой случилось-то?;"""Yeah -- yer not still on abou' that, are yeh?"
527;— Скажи, кто и что, кроме Пушка, охраняет камень?;"aren't you, Hagrid?"""
528;— Интересно, что он там прятал за спиной?;"""And you wouldn't tell anyone, would you?"
529;— Хочешь сказать, что это может быть связано с философским камнем?;"Not even one of the teachers?"""
530;— Но в Британии драконов конечно же нет?;"""Hagrid, can we have a window open?"
531;— Интересно, что задумал Хагрид?;"""Hagrid -- what's that?"""
532;— Ну так что… вы вроде спросить чего хотели?;"""Ah,"" said Hagrid, fiddling nervously with his beard, ""That's er...""  ""Where did you get it, Hagrid?"""
533;— Снегг?;"""But what are you going to do with it when it's hatched?"""
534;— Вы чего, опять про это?;"""Hermione, how many times in our lives are we going to see a dragon hatching?"""
535;Кончайте, ладно?;How much had he heard?
536;— Да как вы не поймете — Снегг… ну… помогает камень охранять, зачем ему его воровать-то?;"""Isn't he beautiful?"""
537;Похоже, Снегг уже выведал все, что ему надо, кроме того, заклинание, которое наложил Квиррелл, и еще…  — Ведь только ты знаешь, как пройти мимо Пушка, правда, Хагрид?;"""Hagrid,"" said Hermione, ""how fast do Norwegian Ridgebacks grow, exactly?"""
538;— И ты ведь никому об этом не расскажешь, верно?;"""What's the matter?"""
539;Даже никому из преподавателей?;"Where's Mommy?"""
540;— Слушай, Хагрид, может, откроем окно?;"""I'm Ron, remember?"""
541;Что это?!;"""How about it, Hagrid?"""
542;— Ну… это…  — Где ты его взял, Хагрид?;Dear Ron,  How are you?
543;— А что ты будешь делать, когда из него вылупится дракон?;Could you get the Ridgeback up the tallest tower at midnight on Saturday?
544;— Ну разве не красавчик?;He didn't know whether it was safe to go to Madam Pomfrey -- would she recognize a dragon bite?
545;— восхитился Хагрид  — Хагрид, а как быстро растут норвежские горбатые драконы?;No more dragon -- Malfoy in detention -- what could spoil their happiness?
546;— Что случилось?;How could they have been so stupid as to forget the cloak?
547;Где твоя мамочка?;Had Harry thought that things couldn't have been worse?
548;— Меня зовут Рон, ты забыл?;"I suppose you think it's funny that Longbottom here heard the story and believed it, too?"""
549;— Как тебе идея, Хагрид?;"""Fifty?"""
550;Как у тебя дела?;How could they ever make up for this?
551;Как вы посмели ходить по школе посреди ночи?!;What would happen when the rest of Gryffindor found out what they'd done?
552;— Как вы смеете мне лгать?!;How could they suddenly have a hundred and fifty points fewer than yesterday?
553;Норберт улетел, Малфой им больше не угрожал и разве могло что-нибудь омрачить их радость?;"""They've never lost a hundred and fifty points in one go, though, have they?"""
554;Видимо, вы полагаете, что это смешно, что не только Малфой клюнул на вашу историю, но и Невилл Долгопупс?;"""Resign?"""
555;— Пятьдесят?;"""What good'll that do?"
556;— Не говорите мне, что я могу и чего не могу, вы поняли, Поттер?!;"How are we going to get any points back if we can't win at Quidditch?"""
557;Такого просто не могло быть — ну представьте, как может получиться, что утром у факультета стало на сто пятьдесят очков меньше, чем было вечером?;"So what do we do, Harry?"""
558;— Но они ведь никогда не получали по минус сто пятьдесят очков за один раз?;Snape's only got to say he doesn't know how the troll got in at Halloween and that he was nowhere near the third floor -- who do you think they'll believe, him or us?
559;— Отчислить?!;"I bet you'll think twice about breaking a school rule again, won't you, eh?"""
560;— И что нам это даст?;"""Is that you, Filch?"
561;Если мы не будем выигрывать в квиддич, как же нам тогда зарабатывать очки?;"His relief must have showed in his -face, because Filch said, ""I suppose you think you'll be enjoying yourself with that oaf?"
562;Так что мы будем делать, Гарри?;"""The forest?"""
563;А Снеггу достаточно просто сказать, что он не знает, как в Хэллоуин тролль попал в замок, и что он даже близко не подходил к третьему этажу И кому, как вы думаете, поверят?;"""That's your problem, isn't it?"""
564;Ему или нам?;"""Should've thought of them werewolves before you got in trouble, shouldn't you?"""
565;— Это ты там, что ли, Филч?;"All right, Harry, Hermione?"""
566;Должно быть, испытанное им облегчение нарисовалось на его лице, потому что Филч издевательски произнес:  — Полагаю, ты думаешь, что вы тут развлекаться будете с этим придурком?;"""That's why yer late, is it?"""
567;— В лес?;"""Bin lecturin' them, eh?"
568;Гарри, Гермиона, как дела-то у вас?;What good's that ter anyone?
569;— А, так вот чего ты так опоздал-то?;"""Look there,"" said Hagrid, ""see that stuff shinin' on the ground?"
570;— Все лекции им читал небось, ага?;Silvery stuff?
571;Не тебе этим заниматься, понял?;"""And what if whatever hurt the unicorn finds us first?"""
572;А кому от того польза?;Now, if any of us finds the unicorn, we'll send up green sparks, right?
573;Ну давай, чего стоишь?;"""Could a werewolf be killing the unicorns?"""
574;Гарри почувствовал, как по его коже побежали мурашки, и ему очень хотелось верить, что во всем виноват налетевший ветерок  — Вон смотрите… пятна на земле видите?;"""You all right, Hermione?"""
575;— Серебряные такие, светящиеся?;"""A werewolf?"""
576;— А если то, что ранило единорога, найдет нас?;"""Who's there?"""
577;Если кто находит единорога, зеленые искры посылает, поняли?;And into the clearing came -- was it a man, or a horse?
578;— Может, это волк-оборотень убивает единорогов?;"""How are yeh?"""
579;— Ты в порядке, Гермиона?;"""Were you going to shoot me?"""
580;— Волк-оборотень?;"""Students, are you?"
581;— Кто там?;"And do you learn much, up at the school?"""
582;— Как дела-то?;"""Listen, I'm glad we've run inter yeh, Ronan, 'cause there's a unicorn bin hurt -- you seen anythin'?"""
583;— Ты хотел меня убить?;"""Yeah,"" said Hagrid, ""but have yeh seen anythin', Ronan?"
584;— Значит, вы школьники?;"Anythin' unusual?"""
585;И много вы уже выучили в школе?;"""So yeh haven't noticed anythin' strange?"""
586;Мы тут единорога ищем раненого, ты не видел ничего?;"""All right?"""
587;— Так ты видел чего, а, Ронан?;"""Good evening, Hagrid, I hope you are well?"""
588;Необычное чего-то?;Look, I've jus' bin askin' Ronan, you seen anythin' odd in here lately?
589;— Так ты ничего странного не видел?;"There's a unicorn bin injured -- would yeh know anythin' about it?"""
590;— Все в порядке?;"""Well, if either of you do see anythin', let me know, won't yeh?"
591;— Слушай, я вот тут Ронана спрашиваю не видел ли он… э-э… чего странного в последнее время?;"""Are there many of them in here?"""
592;Ты… ну… может, слышал об этом чего?;"""D'you think that was a centaur we heard earlier?"""
593;— А их тут много?;"""Did that sound like hooves to you?"
594;— Так ты думаешь, что тот звук, который мы слышали, прежде чем встретить Ронана, что это тоже был кентавр?;"""You don't think they've been hurt, do you?"""
595;— Разве похоже было, что копыта по земле стучат?;What was going on?
596;— Ты думаешь, они попали в беду?;Where were the others?
597;А в голове его вертелись два вопроса: что произошло с Невиллом и почему так долго не возвращается Хагрид?;"""Are you all right?"""
598;А нам дело надо сделать, понимаешь?;"""Yes -- thank you -- what was that?"""
599;— С вами все в порядке?;Can you ride?
600;— А что это было?;"""What are you doing?"
601;Вы умеете ездить верхом?;Have you no shame?
602;— Что ты делаешь?;"Are you a common mule?"""
603;Тебе не стыдно?;"""Do you realize who this is?"""
604;Ты что, верховая лошадь?;"""What have you been telling him?"""
605;— Вы разве не поняли, кто это?;"Have we not read what is to come in the movements of the planets?"""
606;— Что ты ему рассказал?;What is that to do with us?
607;Разве движение планет не показало нам, что произойдет в ближайшее время?;"""Do you not see that unicorn?"""
608;— Лучше?!;"""Do you not understand why it was killed?"
609;Флоренц в приступе гнева поднялся на дыбы, и это произошло так внезапно, что Гарри пришлось вцепиться ему в плечи, чтобы удержаться на нем.  — Ты что, не видишь этого единорога?;Or have the planets not let you in on that secret?
610;— Ты что, не понимаешь, почему его убили?;"""Why's Bane so angry?"""
611;Или планеты не открыли тебе эту тайну?;"""What was that thing you saved me from, anyway?"""
612;— Почему Бэйн так разозлился?;"""Harry Potter, do you know what unicorn blood is used -for?"""
613;— И кстати… от кого вы меня спасли?;"""But who'd be that desperate?"""
614;— Гарри Поттер, вы знаете, зачем нужна кровь единорога?;"""If you're going to be cursed forever, deaths better, isn't it?"""
615;— Но кто же решился на такое?;"Mr. Potter, do you know what is hidden in the school at this very moment?"""
616;— Если тебе предстоит быть навеки проклятым, то уж лучше умереть, чем убивать единорога, правда?;"But I don't understand who --""  ""Can you think of nobody who has waited many years to return to power, who has clung to life, awaiting their chance?"""
