,1,2,3,4,6,7
579,фрак,1,фрак,1,фрак,1
580,хоть,1,хоть,1,хоть,1
581,конкурентноспособностью,8,конкурентноспособностью,8,конкурентноспособностью,8
582,благоустройство,5,благоустройство,5,благоустройство,4
583,тарелка,3,тарелка,3,тарелка,3
584,баллистокардиография,9,баллистокардиография,9,баллистокардиография,7
585,четырёхугольника,7,четырёхугольника,6,четырёхугольника,7
586,морковь,2,морковь,2,морковь,2
587,обезьяна,4,обезьяна,4,обезьяна,4
588,воробьи,3,воробьи,3,воробьи,3
589,электромеханический,8,электромеханический,7,электромеханический,8
590,фломастер,3,фломастер,3,фломастер,3
591,животноводческих,6,животноводческих,6,животноводческих,6
592,взгляд,1,взгляд,2,взгляд,1
593,жизнерадостность,5,жизнерадостность,6,жизнерадостность,5
594,Ас,1,Ас,1,Ас,1
595,являющимися,6,являющимися,5,являющимися,5
596,налогообложения,8,налогообложения,6,налогообложения,6
597,жизнеутверждающий,7,жизнеутверждающий,6,жизнеутверждающий,5
598,взаимопонимание,8,взаимопонимание,6,взаимопонимание,6
599,территориальный,6,территориальный,6,территориальный,5
600,живописное,5,живописное,4,живописное,4
601,здравоохранения,7,здравоохранения,6,здравоохранения,5
602,яркая,3,яркая,3,яркая,2
603,авиационный,6,авиационный,5,авиационный,4
604,художественная,6,художественная,5,художественная,5
605,характеристиками,7,характеристиками,6,характеристиками,7
606,высокопревосходительство,9,высокопревосходительство,9,высокопревосходительство,9
607,индивидуализировать,9,индивидуализировать,8,индивидуализировать,8
608,банан,2,банан,2,банан,2
609,риск,1,риск,1,риск,1
610,камнеобрабатывающий,9,камнеобрабатывающий,7,камнеобрабатывающий,7
611,огонь,2,огонь,2,огонь,2
612,чаепитие,5,чаепитие,4,чаепитие,3
613,играю,3,играю,3,играю,2
614,социалистическая,8,социалистическая,6,социалистическая,6
615,этаж,2,этаж,2,этаж,2
616,звёзды,2,звёзды,2,звёзды,2
617,туфли,2,туфли,2,туфли,2
618,соревнования,6,соревнования,5,соревнования,5
619,фестиваль,3,фестиваль,3,фестиваль,3
620,администрация,6,администрация,6,администрация,5
621,достопримечательностям,8,достопримечательностям,7,достопримечательностям,8
622,убаюкивает,6,убаюкивает,5,убаюкивает,4
623,Япония,4,Япония,3,Япония,3
624,единовременное,7,единовременное,6,единовременное,6
625,восточнославянская,7,восточнославянская,7,восточнославянская,6
626,головокружение,7,головокружение,6,головокружение,6
627,завтрак,2,завтрак,2,завтрак,2
628,ясновидящие,6,ясновидящие,5,ясновидящие,5
629,головокружительная,8,головокружительная,7,головокружительная,7
630,соединение,6,соединение,5,соединение,4
631,грамматика,4,грамматика,4,грамматика,4
632,руль,1,руль,1,руль,1
633,гидроэнергетические,9,гидроэнергетические,7,гидроэнергетические,7
634,жеребёнок,4,жеребёнок,3,жеребёнок,4
635,государственного,6,государственного,5,государственного,6
636,обществознание,6,обществознание,5,обществознание,5
637,удочка,3,удочка,3,удочка,3
638,жизнерадостный,5,жизнерадостный,5,жизнерадостный,5
639,направление,5,направление,4,направление,4
640,хруст,1,хруст,1,хруст,1
641,ягуар,3,ягуар,2,ягуар,2
642,рысь,1,рысь,1,рысь,1
643,Екатеринбургскую,7,Екатеринбургскую,6,Екатеринбургскую,6
644,дрозд,1,дрозд,1,дрозд,1
645,голубь,2,голубь,2,голубь,2
646,формирования,6,формирования,5,формирования,5
647,шиномонтажные,6,шиномонтажные,5,шиномонтажные,5
648,Евгений,3,Евгений,3,Евгений,3
649,облако,3,облако,3,облако,3
650,ненастье,3,ненастье,3,ненастье,3
651,бактерионосительство,8,бактерионосительство,7,бактерионосительство,7
652,трамвай,2,трамвай,2,трамвай,2
653,работоспособность,6,работоспособность,6,работоспособность,6
654,иней,2,иней,2,иней,2
655,идеальный,4,идеальный,4,идеальный,3
656,коммунистическая,7,коммунистическая,6,коммунистическая,6
657,сельскохозяйственного,7,сельскохозяйственного,7,сельскохозяйственного,7
658,ходатайство,4,ходатайство,4,ходатайство,4
659,некристаллизирующийся,9,некристаллизирующийся,8,некристаллизирующийся,8
660,ещё,2,ещё,1,ещё,2
661,неожиданно,5,неожиданно,4,неожиданно,4
662,деньки,2,деньки,2,деньки,2
663,аист,2,аист,1,аист,1
664,хлопотливый,4,хлопотливый,4,хлопотливый,4
665,красноармейская,6,красноармейская,5,красноармейская,4
666,заасфальтировать,6,заасфальтировать,6,заасфальтировать,5
667,бетонирование,7,бетонирование,5,бетонирование,6
668,игла,2,игла,2,игла,2
669,добросовестный,5,добросовестный,5,добросовестный,5
670,фарш,1,фарш,1,фарш,1
671,регистрационный,6,регистрационный,6,регистрационный,5
672,чистописание,6,чистописание,5,чистописание,5
673,пластилин,3,пластилин,3,пластилин,3
674,Москва,2,Москва,2,Москва,2
675,щавелевый,4,щавелевый,4,щавелевый,4
676,ферзь,1,ферзь,1,ферзь,1
677,ос,1,ос,1,ос,1
678,автовеломотогонки,8,автовеломотогонки,7,автовеломотогонки,8
679,авианавигационный,9,авианавигационный,7,авианавигационный,7
680,профориентационную,9,профориентационную,7,профориентационную,6
681,радиопеленгаторная,9,радиопеленгаторная,7,радиопеленгаторная,7
682,зарегистрировано,7,зарегистрировано,6,зарегистрировано,7
683,йодом,2,йодом,2,йодом,2
684,хозяйственный,4,хозяйственный,4,хозяйственный,4
685,шестиугольник,5,шестиугольник,5,шестиугольник,4
686,автоаннотирование,9,автоаннотирование,7,автоаннотирование,7
687,портфель,2,портфель,2,портфель,2
688,билетопечатающий,8,билетопечатающий,6,билетопечатающий,7
689,неспециализированных,9,неспециализированных,7,неспециализированных,8
690,искусство,3,искусство,3,искусство,3
691,щеткой,2,щеткой,2,щеткой,2
692,юбиляра,4,юбиляра,4,юбиляра,4
693,рожь,1,рожь,1,рожь,1
694,шарф,1,шарф,1,шарф,1
695,поздравляю,4,поздравляю,4,поздравляю,3
696,изобилия,5,изобилия,4,изобилия,4
697,общеобразовательная,9,общеобразовательная,7,общеобразовательная,7
698,цилиндрическая,6,цилиндрическая,5,цилиндрическая,5
699,лидирующие,6,лидирующие,5,лидирующие,4
700,местонахождение,7,местонахождение,6,местонахождение,6
701,смотрит,2,смотрит,3,смотрит,2
702,фонарь,2,фонарь,2,фонарь,2
703,акация,4,акация,4,акация,3
704,флюорография,6,флюорография,5,флюорография,4
705,красиваядолгое,7,красиваядолгое,6,красиваядолгое,5
706,единожды,4,единожды,4,единожды,4
707,энциклопедическое,8,энциклопедическое,7,энциклопедическое,7
708,шёлковая,4,шёлковая,3,шёлковая,3
709,благоприятствовать,6,благоприятствовать,6,благоприятствовать,5
710,ночь,1,ночь,1,ночь,1
711,безукоризненно,6,безукоризненно,6,безукоризненно,6
712,тетрадь,2,тетрадь,2,тетрадь,2
713,железнодорожный,6,железнодорожный,5,железнодорожный,6
714,благополучие,6,благополучие,5,благополучие,5
715,представление,5,представление,5,представление,4
716,немалозначимую,7,немалозначимую,6,немалозначимую,6
717,дупло,2,дупло,2,дупло,2
718,естествоиспытатель,7,естествоиспытатель,7,естествоиспытатель,6
719,ёмкостной,3,ёмкостной,3,ёмкостной,3
720,вежливость,3,вежливость,3,вежливость,3
721,зеркало,3,зеркало,3,зеркало,3
722,величественный,5,величественный,5,величественный,5
723,Илья,2,Илья,2,Илья,2
724,умиротворение,7,умиротворение,6,умиротворение,6
725,литературное,6,литературное,5,литературное,5
726,тюльпан,2,тюльпан,2,тюльпан,2
727,ядовитая,5,ядовитая,4,ядовитая,4
728,авиаметеостанция,9,авиаметеостанция,8,авиаметеостанция,6
729,Иван,2,Иван,2,Иван,2
730,юноша,3,юноша,3,юноша,3
731,декларация,5,декларация,5,декларация,4
732,естественный,4,естественный,4,естественный,4
733,компьютер,3,компьютер,3,компьютер,3
734,щекотливость,4,щекотливость,5,щекотливость,4
735,материаловедение,9,материаловедение,7,материаловедение,7
736,барабан,3,барабан,3,барабан,3
737,гном,1,гном,1,гном,1
738,аббревиатура,6,аббревиатура,6,аббревиатура,5
739,йод,1,йод,1,йод,1
740,хек,1,хек,1,хек,1
741,элегантные,5,элегантные,5,элегантные,4
742,лакированная,6,лакированная,5,лакированная,5
743,твой,1,твой,1,твой,1
744,регулирование,7,регулирование,6,регулирование,6
745,он,1,он,1,он,1
746,человеческий,5,человеческий,4,человеческий,5
747,деревьями,4,деревьями,4,деревьями,4
748,эндокринологическое,9,эндокринологическое,8,эндокринологическое,8
749,Эмма,2,Эмма,2,Эмма,2
750,йоги,2,йоги,2,йоги,2
751,сфотографировать,6,сфотографировать,6,сфотографировать,6
752,разрастающиеся,7,разрастающиеся,5,разрастающиеся,5
753,высокотехнологичного,9,высокотехнологичного,7,высокотехнологичного,9
754,хлеб,1,хлеб,1,хлеб,1
755,астр,1,астр,2,астр,1
756,переформатирование,9,переформатирование,7,переформатирование,8
757,теплопроизводительность,8,теплопроизводительность,8,теплопроизводительность,7
758,машиностроительная,8,машиностроительная,7,машиностроительная,6
759,фармакокенетика,7,фармакокенетика,7,фармакокенетика,7
760,автотехобслуживание,9,автотехобслуживание,8,автотехобслуживание,8
761,матрёшка,3,матрёшка,3,матрёшка,3
762,усовершенствованиями,9,усовершенствованиями,7,усовершенствованиями,8
763,весенний,3,весенний,3,весенний,3
764,базирующуюся,7,базирующуюся,5,базирующуюся,5
765,оплачиваемый,6,оплачиваемый,5,оплачиваемый,5
766,волк,1,волк,1,волк,1
767,четырнадцатое,6,четырнадцатое,5,четырнадцатое,5
768,альбом,2,альбом,2,альбом,2
769,деньги,2,деньги,2,деньги,2
770,одиннадцатое,6,одиннадцатое,5,одиннадцатое,5
771,доброжелательный,6,доброжелательный,6,доброжелательный,6
772,правоохранительная,8,правоохранительная,7,правоохранительная,6
773,жужжание,4,жужжание,3,жужжание,3
774,великолепие,6,великолепие,5,великолепие,5
775,мышь,1,мышь,1,мышь,1
776,языковая,5,языковая,4,языковая,4
777,доброжелательность,6,доброжелательность,7,доброжелательность,6
778,Ям,1,Ям,1,Ям,1
779,ам,1,ам,1,ам,1
780,империалистические,9,империалистические,7,империалистические,7
781,разноцветные,5,разноцветные,4,разноцветные,4
782,глообализационными,9,глообализационными,7,глообализационными,7
783,осенние,4,осенние,3,осенние,3
784,программирование,7,программирование,6,программирование,6
785,центральная,4,центральная,4,центральная,3
786,четырехлепестковые,8,четырехлепестковые,6,четырехлепестковые,7
787,пенал,2,пенал,2,пенал,2
788,жук,1,жук,1,жук,1
789,целоваться,4,целоваться,4,целоваться,4
790,юбилейное,5,юбилейное,4,юбилейное,4
791,тихоокеанского,7,тихоокеанского,6,тихоокеанского,5
792,Яна,2,Яна,2,Яна,2
793,праздник,2,праздник,2,праздник,2
794,этноконфессиональных,8,этноконфессиональных,8,этноконфессиональных,7
795,телефон,3,телефон,3,телефон,3
796,гусеница,4,гусеница,3,гусеница,4
797,Юлианович,5,Юлианович,5,Юлианович,4
798,эксплуатации,6,эксплуатации,6,эксплуатации,4
799,лев,1,лев,1,лев,1
800,кардиореспираторной,8,кардиореспираторной,8,кардиореспираторной,7
801,фитопалеонтология,9,фитопалеонтология,8,фитопалеонтология,7
802,барражирование,7,барражирование,6,барражирование,6
803,полиэтиленовая,8,полиэтиленовая,6,полиэтиленовая,6
804,электробезопасность,7,электробезопасность,7,электробезопасность,7
805,величественные,6,величественные,5,величественные,5
806,железнодорожная,7,железнодорожная,5,железнодорожная,6
807,человеконенавистник,8,человеконенавистник,7,человеконенавистник,8
808,трактор,2,трактор,2,трактор,2
809,тихоокеанский,6,тихоокеанский,5,тихоокеанский,4
810,ночник,2,ночник,2,ночник,2
811,горнодобывающая,8,горнодобывающая,6,горнодобывающая,6
812,пляж,1,пляж,1,пляж,1
813,широкоугольный,6,широкоугольный,5,широкоугольный,5
814,звукозаписывающее,9,звукозаписывающее,7,звукозаписывающее,7
815,извините,4,извините,4,извините,4
816,эмоциональный,6,эмоциональный,5,эмоциональный,5
817,специализированные,9,специализированные,7,специализированные,7
818,коллекционирование,9,коллекционирование,7,коллекционирование,7
819,целлюлоза,4,целлюлоза,4,целлюлоза,4
820,шторм,1,шторм,1,шторм,1
821,целеустремленный,6,целеустремленный,6,целеустремленный,5
822,происхождение,6,происхождение,5,происхождение,4
823,зелёная,4,зелёная,3,зелёная,3
824,теоретический,6,теоретический,5,теоретический,5
825,единичный,4,единичный,3,единичный,4
826,яишница,4,яишница,3,яишница,3
827,забастовка,4,забастовка,4,забастовка,4
828,предполагает,5,предполагает,4,предполагает,4
829,программа,3,программа,3,программа,3
830,шахматы,3,шахматы,2,шахматы,3
831,словообразование,8,словообразование,6,словообразование,6
832,актёр,2,актёр,2,актёр,2
833,ёжик,2,ёжик,2,ёжик,2
834,психоневрологическая,9,психоневрологическая,8,психоневрологическая,8
835,ёжики,3,ёжики,3,ёжики,3
836,Ирина,3,Ирина,3,Ирина,3
837,предаттестационная,8,предаттестационная,8,предаттестационная,6
838,муж,1,муж,1,муж,1
839,карбокксиметилцеллюлоза,9,карбокксиметилцеллюлоза,9,карбокксиметилцеллюлоза,9
840,разнообразие,6,разнообразие,5,разнообразие,4
841,як,1,як,1,як,1
842,яблонька,3,яблонька,3,яблонька,3
843,аэроплан,4,аэроплан,4,аэроплан,3
844,лось,1,лось,1,лось,1
845,главнокомандующего,8,главнокомандующего,7,главнокомандующего,7
846,шизофрении,5,шизофрении,5,шизофрении,4
847,финансирование,7,финансирование,6,финансирование,6
848,движение,4,движение,3,движение,3
849,удивительные,6,удивительные,5,удивительные,5
850,скамейка,3,скамейка,3,скамейка,3
851,единственного,5,единственного,4,единственного,5
852,ёлочка,3,ёлочка,3,ёлочка,3
853,ежевика,4,ежевика,3,ежевика,4
854,документационного,8,документационного,7,документационного,7
855,медведь,2,медведь,2,медведь,2
856,идеализированному,9,идеализированному,7,идеализированному,8
857,шестнадцатое,5,шестнадцатое,5,шестнадцатое,4
858,горькая,3,горькая,2,горькая,2
859,щипцы,2,щипцы,2,щипцы,2
860,явление,4,явление,3,явление,3
861,щуплый,2,щуплый,2,щуплый,2
862,электрический,5,электрический,5,электрический,5
863,ива,2,ива,2,ива,2
864,зелёный,3,зелёный,3,зелёный,3
865,холодная,4,холодная,3,холодная,3
866,метеорологические,9,метеорологические,7,метеорологические,7
867,реабилитационный,8,реабилитационный,7,реабилитационный,6
868,дружба,2,дружба,2,дружба,2
869,трудоустройство,5,трудоустройство,5,трудоустройство,4
870,серебро,3,серебро,3,серебро,3
871,совершенствование,7,совершенствование,6,совершенствование,6
872,хорошая,4,хорошая,3,хорошая,3
873,авиация,5,авиация,4,авиация,3
874,растения,4,растения,3,растения,3
875,бабушка,3,бабушка,3,бабушка,3
876,действительно,4,действительно,4,действительно,4
877,автомобиль,4,автомобиль,4,автомобиль,4
878,электрификация,7,электрификация,6,электрификация,6
879,Тверь,1,Тверь,1,Тверь,1
880,азотофиксирующий,8,азотофиксирующий,7,азотофиксирующий,7
881,шишка,2,шишка,2,шишка,2
882,щётка,2,щётка,2,щётка,2
883,быстро,2,быстро,2,быстро,2
884,шантажировать,5,шантажировать,5,шантажировать,5
885,дисквалифицировали,8,дисквалифицировали,7,дисквалифицировали,8
886,называется,5,называется,4,называется,4
887,жил,1,жил,1,жил,1
888,экспресс,2,экспресс,2,экспресс,2
889,метро,2,метро,2,метро,2
890,животноводство,5,животноводство,5,животноводство,5
891,конструирование,7,конструирование,6,конструирование,5
892,Эдик,2,Эдик,2,Эдик,2
893,дифференцированная,8,дифференцированная,7,дифференцированная,7
894,сочинение,5,сочинение,4,сочинение,4
895,ералаш,3,ералаш,3,ералаш,3
896,апельсин,3,апельсин,3,апельсин,3
897,молоко,3,молоко,3,молоко,3
898,противоположные,7,противоположные,6,противоположные,6
899,реабилитационные,9,реабилитационные,7,реабилитационные,6
900,логопедической,6,логопедической,6,логопедической,6
901,ручьи,2,ручьи,2,ручьи,2
902,имена,3,имена,3,имена,3
903,квалификационная,8,квалификационная,7,квалификационная,6
904,ульи,2,ульи,2,ульи,2
905,хвост,1,хвост,1,хвост,1
906,ёсць,1,ёсць,2,ёсць,1
907,Антон,2,Антон,2,Антон,2
908,ум,1,ум,1,ум,1
909,щелочение,5,щелочение,4,щелочение,4
910,единственная,5,единственная,4,единственная,4
911,телерадиокомпания,9,телерадиокомпания,7,телерадиокомпания,7
912,фантастика,4,фантастика,4,фантастика,4
913,эмоциональная,7,эмоциональная,5,эмоциональная,5
914,йеменцу,3,йеменцу,3,йеменцу,3
915,зоопарк,3,зоопарк,3,зоопарк,2
916,янтарная,4,янтарная,3,янтарная,3
917,материальное,6,материальное,5,материальное,4
918,акула,3,акула,3,акула,3
919,ерунда,3,ерунда,3,ерунда,3
920,электрообеспечение,9,электрообеспечение,7,электрообеспечение,7
921,биологический,6,биологический,6,биологический,5
922,поэзия,4,поэзия,3,поэзия,2
923,ядовитую,5,ядовитую,4,ядовитую,4
924,теплоизоляционные,9,теплоизоляционные,7,теплоизоляционные,6
925,финал,2,финал,2,финал,2
926,традиция,4,традиция,4,традиция,3
927,декабрь,2,декабрь,2,декабрь,2
928,Арс,1,Арс,1,Арс,1
929,общеобразовательную,9,общеобразовательную,7,общеобразовательную,7
930,шестьюдесятью,5,шестьюдесятью,5,шестьюдесятью,5
931,температура,5,температура,5,температура,5
932,холодный,3,холодный,3,холодный,3
933,шампиньоны,4,шампиньоны,4,шампиньоны,4
934,разъезд,2,разъезд,2,разъезд,2
935,танк,1,танк,1,танк,1
936,цветы,2,цветы,2,цветы,2
937,разочарование,7,разочарование,6,разочарование,6
938,украинский,4,украинский,4,украинский,3
939,наряд,2,наряд,2,наряд,2
940,учительница,5,учительница,5,учительница,5
941,юные,3,юные,2,юные,2
942,металлообнаружитель,8,металлообнаружитель,7,металлообнаружитель,7
943,листочками,4,листочками,4,листочками,4
944,их,1,их,1,их,1
945,дифференцированы,7,дифференцированы,6,дифференцированы,7
946,конкурентоспособность,7,конкурентоспособность,7,конкурентоспособность,7
947,подосиновик,5,подосиновик,4,подосиновик,5
948,уж,1,уж,1,уж,1
949,вышеперечисленные,8,вышеперечисленные,7,вышеперечисленные,7
950,насекомые,5,насекомые,4,насекомые,4
951,микросхема,4,микросхема,4,микросхема,4
952,квалификационные,8,квалификационные,7,квалификационные,6
953,эксперт,2,эксперт,2,эксперт,2
954,фигурирующих,6,фигурирующих,5,фигурирующих,5
955,подъезд,2,подъезд,2,подъезд,2
956,настоящая,5,настоящая,4,настоящая,3
957,гидроэлектростанцией,8,гидроэлектростанцией,8,гидроэлектростанцией,6
958,усовершенствованию,8,усовершенствованию,7,усовершенствованию,7
959,вышепоставленным,6,вышепоставленным,6,вышепоставленным,6
960,несанкционированного,9,несанкционированного,8,несанкционированного,8
961,раскрасила,4,раскрасила,4,раскрасила,4
962,циркуляцией,5,циркуляцией,5,циркуляцией,4
963,зонт,1,зонт,1,зонт,1
964,радио,3,радио,3,радио,2
965,белоснежный,4,белоснежный,4,белоснежный,4
966,авиастроительство,7,авиастроительство,6,авиастроительство,5
967,естественнонаучный,7,естественнонаучный,7,естественнонаучный,6
968,оборачиваемости,8,оборачиваемости,6,оборачиваемости,7
969,несовершеннолетним,7,несовершеннолетним,7,несовершеннолетним,7
970,листва,2,листва,2,листва,2
971,термодинамического,8,термодинамического,7,термодинамического,8
972,шиномонтажное,6,шиномонтажное,5,шиномонтажное,5
973,визуализация,7,визуализация,5,визуализация,5
974,неопределенный,6,неопределенный,5,неопределенный,5
975,землетрясение,6,землетрясение,5,землетрясение,5
976,Германия,4,Германия,3,Германия,3
977,гидроманипуляторами,9,гидроманипуляторами,8,гидроманипуляторами,9
978,флокс,1,флокс,1,флокс,1
979,товаробраковочного,8,товаробраковочного,7,товаробраковочного,8
980,чтение,3,чтение,2,чтение,2
981,обеспечивающие,8,обеспечивающие,6,обеспечивающие,6
982,индустриальный,5,индустриальный,5,индустриальный,4
983,позиционирование,9,позиционирование,7,позиционирование,7
984,мать,1,мать,1,мать,1
985,його,2,йог,1,його,2
986,коллекция,4,коллекция,4,коллекция,3
987,радость,2,радость,2,радость,2
988,кондиционирования,9,кондиционирования,7,кондиционирования,7
989,жизнь,1,жизнь,1,жизнь,1
990,барс,1,барс,1,барс,1
991,цветочную,4,цветочную,3,цветочную,3
992,нефть,1,нефть,1,нефть,1
993,ирис,2,ирис,2,ирис,2
994,геологические,7,геологические,5,геологические,5
995,инструктируемого,7,инструктируемого,6,инструктируемого,6
996,глобализируещееся,9,глобализируещееся,7,глобализируещееся,7
997,щит,1,щит,1,щит,1
998,оборудование,7,оборудование,5,оборудование,6
999,им,1,им,1,им,1
